be,en,ru,tr
ў Конга,the Congo,в Конго,Kongo'ya
ў Карэйскую Народна-Дэмакратычную Рэспубліку,the Democratic People's Republic of Korea,в Корейскую Народно-Демократическую Республику,Kore Demokratik Halk Cumhuriyeti'ne
ў Паўднёвую Карэю,South Korea,в Южную Корею,Güney Kore'ye
на Кубу,Cuba,на Кубу,Küba'ya
ў Кувейт,Kuwait,в Кувейт,Kuveyt'e
ў Латвію,Latvia,в Латвию,Letonya'ya
ў Ліван,Lebanon,в Ливан,Lübnan'a
ў Лівію,Libya,в Ливию,Libya'ya
ў Літву,Lithuania,в Литву,Litvanya'ya
ў Ліхтэнштэйн,Liechtenstein,в Лихтенштейн,Lihtenştayn'a
ў Люксембург,Luxembourg,в Люксембург,Lüksemburg'a
ў Маўрытанію,Mauritania,в Мавританию,Moritanya'ya
на Мадагаскар,Madagascar,на Мадагаскар,Madagaskar'a
ў Малайзію,Malaysia,в Малайзию,Malezya'ya
на Малі,Mali,на Мали,Mali'ye
на Мальдывы,the Maldives,на Мальдивы,Maldivlere
на Мальту,Malta,на Мальту,Malta'ya
ў Марока,Morocco,в Марокко,Fas'a
ў Мексіку,mexico,в Мексику,Meksika'ya
ў Малдавію,Moldova,в Молдавию,Moldova'ya
ў Манака,Monaco,в Монако,Monako'ya
У Манголію,Mongolia,В Монголию,Moğolistan'a
ў Нігерыю,Nigeria,в Нигерию,Nijerya'ya
ў Нідэрланды,the Netherlands,в Нидерланды,Hollanda'ya
ў Новую Зеландыю,New Zealand,в Новую Зеландию,Yeni Zelanda'ya
ў Нарвегію,Norway,в Норвегию,Norveç'e
ў Аб'яднаныя Арабскія Эміраты,the United Arab Emirates,в Объединенные Арабские Эмираты,Birleşik Arap Emirlikleri'ne
ў Аман,Oman,в Оман,Umman'a
ў Пакістан,Pakistan,в Пакистан,Pakistan'a
ў Перу,Peru,в Перу,Peru'ya
ў Польшчу,Poland,в Польшу,Polonya'ya
ў Партугалію,Portugal,в Португалию,Portekiz'e
ў Расію,Russia,в Россию,Rusya'ya
ў Румынію,Romania,в Румынию,Romanya'ya
ў Саудаўскую Аравію,Saudi Arabia,в Саудовскую Аравию,Suudi Arabistan'a
ў Македонію,Macedonia,в Македонию,Makedonya'ya
ў Сербію,Serbia,в Сербию,Sırbistan'a
ў Сінгапур,Singapore,в Сингапур,Singapur'a
ў Сірыю,Syria,в Сирию,Suriye'ye
ў Славакію,Slovakia,в Словакию,Slovakya'ya
ў Славенію,Slovenia,в Словению,Slovenya'ya
ў Злучаныя Штаты Амерыкі,the United States of America,в Соединенные Штаты Америки,amerika birleşik devletleri'ne
ў Самалі,Somalia,в Сомали,Somali'ye
ў Судан,Sudan,в Судан,Sudan'a
У Таджыкістан,Tajikistan,В Таджикистан,Tacikistan'a
ў Тайланд,thailand,в Таиланд,Tayland'a
ў Танзанію,Tanzania,в Танзанию,Tanzanya'ya
ў Туніс,Tunisia,в Тунис,Tunus'a
ў Туркменію,Turkmenistan,в Туркмению,Türkmenistan'a
ва Узбекістане,Uzbekistan,в Узбекистане,Özbekistan'a
ва Украіну,Ukraine,на Украину,Ukrayna'ya
ў Фінляндыю,Finland,в Финляндию,Finlandiya'ya
ў Францыю,France,во Францию,Fransa'ya
ў Харватыю,Croatia,в Хорватию,Hırvatistan'a
ў Чарнагорыю,Montenegro,в Черногорию,Karadağ'a
ў Чэхію,the Czech Republic,в Чехию,Çek Cumhuriyeti'ne
ў Чылі,Chile,в Чили,Şili'ye
ў Швейцарыю,Switzerland,в Швейцарию,İsviçre'ye
ў Швецыю,Sweden,в Швецию,İsveç'e
на Шры-Ланку,Sri Lanka,на Шри-Ланку,Sri Lanka'ya
ў Эквадор,Ecuador,в Эквадор,Ekvador'a
ў Гвінею,Guinea,в Гвинею,Gine'ye
ў Эстонію,Estonia,в Эстонию,Estonya'ya
ў Судан,Sudan,в Судан,Sudan'a
ў Японію,Japan,в Японию,Japonya'ya
на Ямайку,Jamaica,на Ямайку,Jamaika'ya
