en,ru,pl,be,uk,bg,cs,ca,es,tr,sl
New Zealand,Новая Зеландия,Nowa Zelandia,Новая Зеландыя,Нова Зеландія,Нова Зеландия,Nový Zéland,Nova Zelanda,Nueva Zelanda,Yeni Zelanda,Nova Zelandija
Netherlands,Нидерланды,Holandia (kraj składowy Królestwa Niderlandów),Нідэрланды,Нідерланди,Нидерландия,Nizozemsko,Països Baixos,Países Bajos,Hollanda,Nizozemska
Pakistan,Пакистан,Pakistan,Пакістан,Пакистан,Пакистан,Pákistán,Pakistan,Pakistán,Pakistan,Pakistan
South Africa,Южно-Африканская Республика,Południowa Afryka,Паўднёва-Афрыканская Рэспубліка,Південно-Африканська Республіка,Република Южна Африка,Jihoafrická republika,Sud-àfrica,Sudáfrica,Güney Afrika Cumhuriyeti,Republika Južna Afrika
Peru,Перу,Peru,Перу,Перу,Перу,Peru,Perú,Perú,Peru,Peru
Poland,Польша,Polska,Польшча,Польща,Полша,Polsko,Polònia,Polonia,Polonya,Poljska
Punta Arenas,Пунта-Аренас,Punta Arenas,Пунта-Арэнас,Пунта-Аренас,Пунта Аренас,Punta Arenas,Punta Arenas,Punta Arenas,Punta Arenas,Punta Arenas
Russia,Россия,Rosja,Расія,Росія,Русия,Rusko,Rússia,Rusia,Rusya,Rusija
Rwanda,Руанда,Rwanda,Руанда,Руанда,Руанда,Rwanda,Ruanda,Ruanda,Ruanda,Ruanda
Romania,Румыния,Rumunia,Румынія,Румунія,Румъния,Rumunsko,Romania,Rumania,Romanya,Romunija
Belarus,Белоруссия,Białoruś,Беларусь,Білорусь,Беларус,Bělorusko,Bielorússia,Bielorrusia,Belarus,Belorusija
Saudi Arabia,Саудовская Аравия,Arabia Saudyjska,Саудаўская Аравія,Саудівська Аравія,Саудитска Арабия,Saúdská Arábie,Aràbia Saudita,Arabia Saudita,Suudi Arabistan,Saudova Arabija
Sucre,Сукре,Sucre,Сукрэ,Сукре,Сукре,Sucre,Sucre,Sucre,Sucre,Sucre
Singapore,Сингапур,Singapur,Сінгапур,Сінгапур,Сингапур,Singapur,Singapur,Singapur,Singapur,Singapur
Turkey,Турция,Turcja,Турцыя,Туреччина,Турция,Turecko,Turquia,Turquía,Türkiye,Turčija
France,Франция,Francja,Францыя,Франція,Франция,Francie,França,Francia,Fransa,Francija
Philippines,Филиппины,Filipiny,Філіпіны,Філіппіни,Филипини,Filipíny,Filipines,Filipinas,Filipinler,Filipini
Chile,Чили,Chile,Чылі,Чилі,Чили,Chile,Xile,Chile,Şili,Čile
Czech Republic,Чехия,Czechy,Чэхія,Чехія,Чехия,Česko,Txèquia,República Checa,Çek Cumhuriyeti,Češka
Switzerland,Швейцария,Szwajcaria,Швейцарыя,Швейцарія,Швейцария,Švýcarsko,Suïssa,Suiza,İsviçre,Švica
Sweden,Швеция,Szwecja,Швецыя,Швеція,Швеция,Švédsko,Suècia,Suecia,İsveç,Švedska
Ethiopia,Эфиопия,Etiopia,Эфіопія,Ефіопія,Етиопия,Etiopie,Etiòpia,Etiopía,Etiyopya,Etiopija
Islamabad,Исламабад,Islamabad,Ісламабад,Ісламабад,Исламабад,Islámábád,Islamabad,Islamabad,İslamabad,Islamabad
Abu Dhabi,Абу-Даби,Abu Zabi,Абу-Дабі,Абу-Дабі,Абу Даби,Abú Zabí,Abu Dhabi (ciutat),Abu Dabi,Abu Dabi,Abu Dabi
Abuja,Абуджа,Abudża,Абуджа,Абуджа,Абуджа,Abuja,Abuja,Abuya,Abuja,Abuja
Abidjan,Абиджан,Abidżan,Абіджан,Абіджан,Абиджан,Abidžan,Abidjan,Abiyán,Abidjan,Abidžan
Avarua,Аваруа,Avarua,Аваруа,Аваруа,Аваруа,Avarua,Avarua,Avarua,Avarua,Avarua
Aden,Аден,Aden,Адэн,Аден,Аден,Aden,Aden,Adén,Aden,Aden
Acapulco,Акапулько,Acapulco,Акапулька,Акапулько,Акапулко,Acapulco,Acapulco,Acapulco de Juárez,Acapulco,Acapulco
Accra,Аккра,Akra,Акра,Аккра,Акра,Akkra,Accra,Acra,Akra,Akra
Algeria,Алжир,Algieria,Алжыр,Алжир,Алжир,Alžírsko,Algèria,Argelia,Cezayir,Alžirija
Alofi,Алофи,Alofi,Алофі,Алофі,Алофи,Alofi,Alofi,Alofi,Alofi,Alofi
Amman,Амман,Amman,Аман,Амман,Аман,Ammán,Amman,Amán,Amman,Aman
Amsterdam,Амстердам,Amsterdam,Амстэрдам,Амстердам,Амстердам,Amsterdam,Amsterdam,Ámsterdam,Amsterdam,Amsterdam
Ankara,Анкара,Ankara,Анкара,Анкара,Анкара,Ankara,Ankara,Ankara,Ankara,Ankara
Antananarivo,Антананариву,Antananarywa,Антананарыву,Антананаріву,Антананариву,Antananarivo,Antananarivo,Antananarivo,Antananarivo,Antananarivo
Antwerp,Антверпен,Antwerpia,Антверпен,Антверпен,Антверпен,Antverpy,Anvers,Amberes,Anvers,Antwerpen
Apia,Апиа,Apia,Апія,Апіа,Апия,Apia,Apia,Apia,Apia,Apia
Asmara,Асмэра,Asmara,Асмара,Асмера,Асмара,Asmara,Asmara,Asmara,Asmara,Asmara
Asunción,Асунсьон,Asunción,Асунсьён,Асунсьйон,Асунсион,Asunción,Asunción,Asunción,Asunción,Asunción
Athens,Афины,Ateny,Афіны,Афіни,Атина,Athény,Atenes,Atenas,Atina,Atene
Ashgabat,Ашхабад,Aszchabad,Ашгабат,Ашгабат,Ашхабад,Ašchabad,Aixkhabad,Asjabad,Aşkabat,Ašhabad
Ajaccio,Аяччо,Ajaccio,Аяча,Аяччо,Аячо,Ajaccio,Ajaccio,Ajaccio,Ajaccio,Ajaccio
Bogotá,Богота,Bogota,Багата,Богота,Богота,Bogotá,Bogotà,Bogotá,Bogotá,Bogota
Baghdad,Багдад,Bagdad,Багдад,Багдад,Багдад,Bagdád,Bagdad,Bagdad,Bağdat,Bagdad
Baku,Баку,Baku,Баку,Баку,Баку,Baku,Bakú,Bakú,Bakü,Baku
Bamako,Бамако,Bamako,Бамако,Бамако,Бамако,Bamako,Bamako,Bamako,Bamako,Bamako
Bangkok,Бангкок,Bangkok,Бангкок,Бангкок,Банкок,Bangkok,Bangkok,Bangkok,Bangkok,Bangkok
Bangui,Банги,Bangi,Бангі,Бангі,Банги,Bangui,Bangui,Bangui,Bangui,Bangui
Bandar Seri Begawan,Бандар-Сери-Бегаван,Bandar Seri Begawan,Бандар-Серы-Бегаван,Бандар-Сері-Бегаван,Бандар Сери Бегаван,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begavan,Bandar Seri Begawan
Banjul,Банжул,Bandżul,Банжул,Банжул,Банджул,Banjul,Banjul,Banjul,Banjul,Banjul
Barranquilla,Барранкилья,Barranquilla,Баранкілья,Барранкілья,Баранкиля,Barranquilla,Barranquilla,Barranquilla,Barranquilla,Barranquilla
Bordeaux,Бордо,Bordeaux,Бардо,Бордо,Бордо,Bordeaux,Bordeus,Burdeos,Bordeaux,Bordeaux
Barcelona,Барселона,Barcelona,Барселона,Барселона,Барселона,Barcelona,Barcelona,Barcelona,Barselona,Barcelona
Basseterre,Бастер,Basseterre,Бастэр,Бастер,Бастер,Basseterre,Basseterre,Basseterre,Basseterre,Basseterre
Beirut,Бейрут,Bejrut,Бейрут,Бейрут,Бейрут,Bejrút,Beirut,Beirut,Beyrut,Bejrut
Belgrade,Белград,Belgrad,Бялград,Белград,Белград,Bělehrad,Belgrad,Belgrado,Belgrad,Beograd
Belfast,Белфаст,Belfast,Белфаст,Белфаст,Белфаст,Belfast,Belfast,Belfast,Belfast,Belfast
Belmopan,Бельмопан,Belmopan,Бельмапан,Бельмопан,Белмопан,Belmopan,Belmopan,Belmopán,Belmopan,Belmopan
Berlin,Берлин,Berlin,Берлін,Берлін,Берлин,Berlín,Berlín,Berlín,Berlin,Berlin
Bern,Берн,Berno,Берн,Берн,Берн,Bern,Berna,Berna,Bern,Bern
Brazzaville,Браззавиль,Brazzaville,Бразавіль,Браззавіль,Бразавил,Brazzaville,Brazzaville,Brazzaville,Brazzaville,Brazzaville
Brazil,Бразилия,Brazylia,Бразілія,Бразилія,Бразилия,Brazílie,Brasil,Brasil,Brezilya,Brazilija
Bratislava,Братислава,Bratysława,Браціслава,Братислава,Братислава,Bratislava,Bratislava,Bratislava,Bratislava,Bratislava
Brussels,Брюссель,Bruksela,Брусель,Брюссель,Брюксел,Brusel,Brussel,Bruselas,Brüksel,Bruselj
Bridgetown,Бриджтаун,Bridgetown,Брыджтаўн,Бриджтаун,Бриджтаун,Bridgetown,Bridgetown,Bridgetown,Bridgetown,Bridgetown
Brisbane,Брисбен,Brisbane,Брысбен,Брисбен,Бризбън,Brisbane,Brisbane,Brisbane,Brisbane,Brisbane
Budapest,Будапешт,Budapeszt,Будапешт,Будапешт,Будапеща,Budapešť,Budapest,Budapest,Budapeşte,Budimpešta
Bujumbura,Бужумбура,Bużumbura,Бужумбура,Бужумбура,Бужумбура,Bujumbura,Bujumbura,Buyumbura,Bujumbura,Bujumbura
Bucharest,Бухарест,Bukareszt,Бухарэст,Бухарест,Букурещ,Bukurešť,Bucarest,Bucarest,Bükreş,Bukarešta
Buenos Aires,Буэнос-Айрес,Buenos Aires,Буэнас-Айрэс,Буенос-Айрес,Буенос Айрес,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires
Bhopal,Бхопал,Bhopal,Бхапал,Бхопал,Бопал,Bhópál,Bhopal,Bhopal,Bhopal,Bhopāl
Bilbao,Бильбао,Bilbao,Більбаа,Більбао,Билбао,Bilbao,Bilbao,Bilbao,Bilbao,Bilbao
Bissau,Бисау,Bissau,Бісау,Бісау,Бисау,Bissau,Bissau,Bisáu,Bissau,Bissau
Bishkek,Бишкек,Biszkek,Бішкек,Бішкек,Бишкек,Biškek,Bixkek,Biskek,Bişkek,Biškek
Vientiane,Вьентьян,Wientian,В’енцьян,В'єнтьян,Виентян,Vientiane,Vientiane,Vientián,Vientiane,Vientiane
Vaduz,Вадуц,Vaduz,Вадуц,Вадуц,Вадуц,Vaduz,Vaduz,Vaduz,Vaduz,Vaduz
Valletta,Валлетта,Valletta,Валета,Валлетта,Валета,Valletta,La Valletta,La Valeta,Valletta,Valletta
Vancouver,Ванкувер,Vancouver,Ванкувер,Ванкувер,Ванкувър,Vancouver,Vancouver,Vancouver,Vancouver,Vancouver
Warsaw,Варшава,Warszawa,Варшава,Варшава,Варшава,Varšava,Varsòvia,Varsovia,Varşova,Varšava
Vatican City,Ватикан,Watykan,Ватыкан,Ватикан,Ватикан,Vatikán,Ciutat del Vaticà,Ciudad del Vaticano,Vatikan,Vatikan
Washington,Вашингтон,Waszyngton,Вашынгтон,Вашингтон,Вашингтон,Washington,Washington,Washington,Vaşington,Washington
Wellington,Веллингтон,Wellington,Уэлінгтан,Веллінгтон,Уелингтън,Wellington,Wellington,Wellington,Wellington,Wellington
Vienna,Вена,Wiedeń,Вена,Відень,Виена,Vídeň,Viena,Viena,Viyana,Dunaj
Windhoek,Виндхук,Windhuk,Віндхук,Віндгук,Виндхук,Windhoek,Windhoek,Windhoek,Windhoek,Windhoek
Gaborone,Габороне,Gaborone,Габаронэ,Габороне,Габороне,Gaborone,Gaborone,Gaborone,Gaborone,Gaborone
Havana,Гавана,Hawana,Гавана,Гавана,Хавана,Havana,L'Havana,La Habana,Havana,Havana
Hamburg,Гамбург,Hamburg,Гамбург,Гамбург,Хамбург,Hamburk,Hamburg,Hamburgo,Hamburg,Hamburg
Guadalajara,Гвадалахара,Guadalajara,Гвадалахара,Гвадалахара,Гуадалахара,Guadalajara,Guadalajara,Guadalajara,Guadalajara,Guadalajara
Guatemala,Гватемала,Gwatemala,Гватэмала,Гватемала,Гватемала,Guatemala,Guatemala,Guatemala,Guatemala,Gvatemala
Gdańsk,Гданьск,Gdańsk,Гданьск,Гданськ,Гданск,Gdaňsk,Gdańsk,Gdansk,Gdańsk,Gdansk
Genoa,Генуя,Genua,Генуя,Генуя,Генуа,Janov,Gènova,Génova,Cenova,Genova
Gothenburg,Гётеборг,Göteborg,Гётэбарг,Гетеборг,Гьотеборг,Göteborg,Göteborg,Gotemburgo,Göteborg,Göteborg
Dhaka,Дакка,Dhaka,Дака,Дака,Дака,Dháka,Dacca,Daca,Dakka,Daka
Dakar,Дакар,Dakar,Дакар,Дакар,Дакар,Dakar,Dakar,Dakar,Dakar,Dakar
Dar es Salaam,Дар-эс-Салам,Dar es Salaam,Дар-эс-Салам,Дар-ес-Салам,Дар ес-Салаам,Dar es Salaam,Dar es Salaam,Dar es-Salam,Darüsselam,Dar es Salaam
Jakarta,Джакарта,Dżakarta,Джакарта,Джакарта,Джакарта,Jakarta,Jakarta,Yakarta,Cakarta,Džakarta
Djibouti,Джибути,Dżibuti,Джыбуці,Джибуті,Джибути,Džibutsko,Djibouti,Yibuti,Cibuti,Džibuti
Düsseldorf,Дюссельдорф,Düsseldorf,Дзюсельдорф,Дюссельдорф,Дюселдорф,Düsseldorf,Düsseldorf,Düsseldorf,Düsseldorf,Düsseldorf
Doha,Доха,Doha,Доха,Доха,Доха,Dauhá,Doha,Doha,Doha,Doha
Douala,Дуала,Duala,Дуала,Дуала,Дуала,Douala,Douala,Duala,Douala,Douala
Dubai,Дубай,Dubaj,Дубай,Дубай,Дубай,Dubaj,Dubai,Dubái,Dubai,Dubaj
Dublin,Дублин,Dublin,Дублін,Дублін,Дъблин,Dublin,Dublín,Dublín,Dublin,Dublin
Durban,Дурбан,Durban,Дурбан,Дурбан,Дърбан,Durban,Durban,Durban,Durban,Durban
Dushanbe,Душанбе,Duszanbe,Душанбэ,Душанбе,Душанбе,Dušanbe,Duixanbe,Dusambé,Duşanbe,Dušanbe
Yekaterinburg,Екатеринбург,Jekaterynburg,Екацярынбург,Єкатеринбург,Екатеринбург,Jekatěrinburg,Iekaterinburg,Ekaterimburgo,Yekaterinburg,Jekaterinburg
Yerevan,Ереван,Erywań,Ерэван,Єреван,Ереван,Jerevan,Erevan,Ereván,Erivan,Erevan
Geneva,Женева,Genewa,Жэнева,Женева,Женева,Ženeva,Ginebra,Ginebra,Cenevre,Ženeva
Zagreb,Загреб,Zagrzeb,Заграб,Загреб,Загреб,Záhřeb,Zagreb,Zagreb,Zagreb,Zagreb
Salzburg,Зальцбург,Salzburg,Зальцбург,Зальцбург,Залцбург,Salcburk,Salzburg,Salzburgo,Salzburg,Salzburg
Johannesburg,Йоханнесбург,Johannesburg,Яганэсбург,Йоганнесбург,Йоханесбург,Johannesburg,Johannesburg,Johannesburgo,Johannesburg,Johannesburg
Yokohama,Иокогама,Jokohama,Якагама,Йокогама,Йокохама,Jokohama,Yokohama,Yokohama,Yokohama,Jokohama
Kabul,Кабул,Kabul,Кабул,Кабул,Кабул,Kábul,Kabul,Kabul,Kâbil,Kabul
Calgary,Калгари,Calgary,Калгары,Калгарі,Калгари,Calgary,Calgary,Calgary,Calgary,Calgary
Colombo,Коломбо,Kolombo,Каломба,Коломбо,Коломбо,Kolombo,Colombo,Colombo,Kolombo,Kolombo
Kolkata,Калькутта,Kolkata,Калькута,Колката,Колката,Kalkata,Calcuta,Calcuta,Kalküta,Kalkuta
Kampala,Кампала,Kampala,Кампала,Кампала,Кампала,Kampala,Kampala,Kampala,Kampala,Kampala
Conakry,Конакри,Konakry,Конакры,Конакрі,Конакри,Konakry,Conakry,Conakri,Konakri,Conakry
Canberra,Канберра,Canberra,Канбера,Канберра,Канбера,Canberra,Canberra,Canberra,Canberra,Canberra
Guangzhou,Гуанчжоу,Kanton,Гуанчжоу,Ґуанчжоу,Гуанджоу,Kanton,Canton,Cantón,Guangzhou,Guangdžov
Copenhagen,Копенгаген,Kopenhaga,Капенгаген,Копенгаген,Копенхаген,Kodaň,Copenhaguen,Copenhague,Kopenhag,København
Caracas,Каракас,Caracas,Каракас,Каракас,Каракас,Caracas,Caracas,Caracas,Caracas,Caracas
Karachi,Карачи,Karaczi,Карачы,Карачі,Карачи,Karáčí,Karachi,Karachi,Karaçi,Karači
Casablanca,Касабланка,Casablanca,Касабланка,Касабланка,Казабланка,Casablanca,Casablanca,Casablanca,Kazablanka,Casablanca
Castries,Кастри,Castries,Кастры,Кастрі,Кастрийс,Castries,Castries,Castries,Castries,Castries
Kathmandu,Катманду,Katmandu,Катманду,Катманду,Катманду,Káthmándú,Katmandú,Katmandú,Katmandu,Katmandu
Cairo,Каир,Kair,Каір,Каїр,Кайро,Káhira,El Caire,El Cairo,Kahire,Kairo
Quebec,Квебек,Quebec,Квебек,Квебек,Квебек,Québec,Quebec,Quebec,Québec,Québec
Kobe,Кобе,Kobe,Кобэ,Кобе,Кобе,Kóbe,Kobe,Kōbe,Kobe,Kobe
Kraków,Краков,Kraków,Кракаў,Краків,Краков,Krakov,Cracòvia,Cracovia,Kraków,Krakov
Kuala Lumpur,Куала-Лумпур,Kuala Lumpur,Куала-Лумпур,Куала-Лумпур,Куала Лумпур,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur
Kuwait,Кувейт,Kuwejt,Кувейт,Кувейт,Кувейт,Kuvajt,Kuwait,Kuwait,Kuveyt,Kuvajt
Kigali,Кигали,Kigali,Кігалі,Кігалі,Кигали,Kigali,Kigali,Kigali,Kigali,Kigali
Kingston,Кингстон,Kingston,Кінгстан,Кінгстон,Кингстън,Kingston,Kingston,Kingston,Kingston,Kingston
Kingstown,Кингстаун,Kingstown,Кінгстаўн,Кінгстаун,Кингстаун,Kingstown,Kingstown,Kingstown,Kingstown,Kingstown
Kinshasa,Киншаса,Kinszasa,Кіншаса,Кіншаса,Киншаса,Kinshasa,Kinshasa,Kinsasa,Kinşasa,Kinšasa
Quito,Кито,Quito,Кіта,Кіто,Кито,Quito,Quito,Quito,Quito,Quito
Chișinău,Кишинёв,Kiszyniów,Кішынёў,Кишинів,Кишинев,Kišiněv,Chișinău,Chisináu,Kişinev,Kišinjev
Leipzig,Лейпциг,Lipsk,Лейпцыг,Лейпциг,Лайпциг,Lipsko,Leipzig,Leipzig,Leipzig,Leipzig
Saint Petersburg,Санкт-Петербург,Petersburg,Санкт-Пецярбург,Санкт-Петербург,Санкт Петербург,Petrohrad,Sant Petersburg,San Petersburgo,Sankt-Peterburg,Sankt Peterburg
Lomé,Ломе,Lomé,Ламэ,Ломе,Ломе,Lomé,Lomé,Lomé,Lomé,Lomé
London,Лондон,Londyn,Лондан,Лондон,Лондон,Londýn,Londres,Londres,Londra,London
Luanda,Луанда,Luanda,Луанда,Луанда,Луанда,Luanda,Luanda,Luanda,Luanda,Luanda
Lusaka,Лусака,Lusaka,Лусака,Лусака,Лусака,Lusaka,Lusaka,Lusaka,Lusaka,Lusaka
Ljubljana,Любляна,Lublana,Любляна,Любляна,Любляна,Lublaň,Ljubljana,Liubliana,Ljubljana,Ljubljana
Libreville,Либревиль,Libreville,Лібрэвіль,Лібревіль,Либревил,Libreville,Libreville,Libreville,Libreville,Libreville
Lilongwe,Лилонгве,Lilongwe,Лілонгвэ,Лілонгве,Лилонгве,Lilongwe,Lilongwe,Lilongüe,Lilongwe,Lilongwe
Lima,Лима,Lima,Ліма,Ліма,Лима,Lima,Lima,Lima,Lima,Lima
Lisbon,Лиссабон,Lizbona,Лісабон,Лісабон,Лисабон,Lisabon,Lisboa,Lisboa,Lizbon,Lizbona
Mogadishu,Могадишо,Mogadiszu,Магадыша,Могадішо,Могадишу,Mogadišo,Mogadiscio,Mogadiscio,Mogadişu,Mogadiš
Chennai,Ченнаи,Ćennaj,Чэнаі,Ченнаї,Ченай,Čennaí,Chennai,Chennai,Chennai,Chennai
Madrid,Мадрид,Madryt,Мадрыд,Мадрид,Мадрид,Madrid,Madrid,Madrid,Madrid,Madrid
Malabo,Малабо,Malabo,Малаба,Малабо,Малабо,Malabo,Malabo,Malabo,Malabo,Malabo
Malé,Мале,Male,Мале,Мале,Мале,Male,Malé,Malé,Malé,Malé
Mombasa,Момбаса,Mombasa,Мамбаса,Момбаса,Момбаса,Mombasa,Mombasa,Mombasa,Mombasa,Mombasa
Manama,Манама,Manama,Манама,Манама,Манама,Manáma,Al-Manama,Manama,Manama,Manama
Monrovia,Монровия,Monrovia,Манровія,Монровія,Монровия,Monrovia,Monròvia,Monrovia,Monrovia,Monrovija
Montreal,Монреаль,Montreal,Манрэаль,Монреаль,Монреал,Montréal,Mont-real,Montreal,Montreal,Montréal
Montevideo,Монтевидео,Montevideo,Мантэвідэа,Монтевідео,Монтевидео,Montevideo,Montevideo,Montevideo,Montevideo,Montevideo
Manila,Манила,Manila,Маніла,Маніла,Манила,Manila,Manila,Manila,Manila,Manila
Maputo,Мапуту,Maputo,Мапуту,Мапуту,Мапуто,Maputo,Maputo,Maputo,Maputo,Maputo
Marseille,Марсель,Marsylia,Марсель,Марсель,Марсилия,Marseille,Marsella,Marsella,Marsilya,Marseille
Maseru,Масеру,Maseru,Масеру,Масеру,Масеру,Maseru,Maseru,Maseru,Maseru,Maseru
Moscow,Москва,Moskwa,Масква,Москва,Москва,Moskva,Moscou,Moscú,Moskova,Moskva
Mbabane,Мбабане,Mbabane,Мбабанэ,Мбабане,Мбабане,Mbabane,Mbabane,Mbabane,Mbabane,Mbabane
Mecca,Мекка,Mekka,Мекка,Мекка,Мека,Mekka,La Meca,La Meca,Mekke,Meka
Melbourne,Мельбурн,Melbourne,Мельбурн,Мельбурн,Мелбърн,Melbourne,Melbourne,Melbourne,Melbourne,Melbourne
Mexico,Мексика,Meksyk,Мексіка,Мексика,Мексико,Mexiko,Mèxic,México,Meksika,Mehika
Muscat,Маскат,Maskat,Маскат,Маскат,Маскат,Maskat,Masqat,Mascate,Maskat,Maskat
Munich,Мюнхен,Monachium,Мюнхен,Мюнхен,Мюнхен,Mnichov,Munic,Múnich,Münih,München
Milan,Милан,Mediolan,Мілан,Мілан,Милано,Milán,Milà,Milán,Milano,Milano
Niamey,Ниамей,Niamey,Ніямей,Ніамей,Ниамей,Niamey,Niamey,Niamey,Niamey,Niamey
Nairobi,Найроби,Nairobi,Найробі,Найробі,Найроби,Nairobi,Nairobi,Nairobi,Nairobi,Nairobi
N'Djamena,Нджамена,Ndżamena,Нджамена,Нджамена,Нджамена,N'Djamena,N'Djamena,Yamena,N'Djamena,N'Djamena
Naples,Неаполь,Neapol,Неапаль,Неаполь,Неапол,Neapol,Nàpols,Nápoles,Napoli,Neapelj
Nouakchott,Нуакшот,Nawakszut,Нуакшот,Нуакшот,Нуакшот,Nuakšott,Nouakchott,Nuakchot,Nuakşot,Nouakchott
