ru,en,pl,be,uk,bg,cs,ca,es,tr,sl
Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices,AMD,Advanced Micro Devices,AMD,Advanced Micro Devices,AMD,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices
Международный союз теоретической и прикладной химии,International Union of Pure and Applied Chemistry,Międzynarodowa Unia Chemii Czystej i Stosowanej,Міжнародны саюз тэарэтычнай і прыкладной хіміі,IUPAC,Международен съюз за чиста и приложна химия,Mezinárodní unie pro čistou a užitou chemii,Unió Internacional de Química Pura i Aplicada,Unión Internacional de Química Pura y Aplicada,Uluslararası Temel ve Uygulamalı Kimya Birliği,Mednarodna zveza za čisto in uporabno kemijo
Всемирная организация здравоохранения,World Health Organization,Światowa Organizacja Zdrowia,Сусветная арганізацыя аховы здароўя,Всесвітня організація охорони здоров'я,Световна здравна организация,Světová zdravotnická organizace,Organització Mundial de la Salut,Organización Mundial de la Salud,Dünya Sağlık Örgütü,Svetovna zdravstvena organizacija
Международная автомобильная федерация,Fédération Internationale de l'Automobile,Fédération Internationale de l’Automobile,Міжнародная аўтамабільная федэрацыя,Міжнародна автомобільна федерація,Международна автомобилна федерация,Mezinárodní automobilová federace,Fédération Internationale de l'Automobile,Federación Internacional del Automóvil,Uluslararası Otomobil Federasyonu,Mednarodna avtomobilistična zveza
Динамо ,FC Dynamo Kyiv,Dynamo Kijów,ФК Дынама Кіеў,Динамо ,ФК Динамо ,FK Dynamo Kyjev,FC Dinamo de Kíiv,F. C. Dinamo de Kiev,FK Dinamo Kyiv,Dinamo Kijev
SEAT,SEAT,SEAT,SEAT,SEAT,Сеат,SEAT,SEAT,SEAT,SEAT,SEAT
ЦЕРН,CERN,CERN,CERN,CERN,Европейска организация за ядрени изследвания,Evropská organizace pro jaderný výzkum,Organització Europea per a la Recerca Nuclear,Organización Europea para la Investigación Nuclear,Avrupa Nükleer Araştırma Merkezi,Evropska organizacija za jedrske raziskave
Лига Наций,League of Nations,Liga Narodów,Ліга Нацый,Ліга Націй,Общество на народите,Společnost národů,Societat de Nacions,Sociedad de las Naciones,Milletler Cemiyeti,Društvo narodov
Израильский музей,Israel Museum,Muzeum Izraela,Музей Ізраіля,Музей Ізраїлю,"Израелски музей, Йерусалим",Izraelské muzeum,Museu d'Israel,Museo de Israel,İsrail Müzesi,Izraelski muzej
Вольфсбург ,VfL Wolfsburg,VfL Wolfsburg,ФК Вольфсбург,Вольфсбург ,ФФЛ Волфсбург,VfL Wolfsburg,Verein für Leibesübungen Wolfsburg,VfL Wolfsburgo,VfL Wolfsburg,VfL Wolfsburg
Социалистическая партия ,Socialist Party ,Partia Socjalistyczna ,Сацыялістычная партыя ,Соціалістична партія ,Социалистическа партия ,Parti socialiste ,Partit Socialista ,Partido Socialista ,Sosyalist Parti ,Socialistična stranka 
Боруссия ,Borussia Dortmund,Borussia Dortmund,ФК Барусія Дортмунд,Боруссія ,Борусия 09 ,Borussia Dortmund,Ballspielverein Borussia 09 Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund
Движение неприсоединения,Non-Aligned Movement,Ruch Państw Niezaangażowanych,Рух недалучэння,Рух неприєднання,Движение на необвързаните държави,Hnutí nezúčastněných zemí,Moviment de Països No-alineats,Movimiento de Países No Alineados,Bağlantısızlar Hareketi,Gibanje neuvrščenih
Аталанта ,Atalanta B.C.,Atalanta BC,ФК Аталанта,Аталанта ,Аталанта БК,Atalanta BC,Atalanta Bergamasca Calcio,Atalanta Bergamasca Calcio,Atalanta BC,Atalanta B.C.
Вильярреал ,Villarreal CF,Villarreal CF,ФК Вільярэал,Вільярреал ,Виляреал КФ,Villarreal CF,Vila-real Club de Futbol,Villarreal Club de Fútbol,Villarreal CF,Villarreal CF
Палермо ,Palermo F.C.,Palermo FC,ФК Палерма,Палермо ,ССД Палермо,Palermo SSD,Palermo Football Club,Palermo Football Club,Palermo FC,Palermo Football Club
Сампдория,U.C. Sampdoria,UC Sampdoria,ФК Сампдорыя,Сампдорія,УК Сампдория,UC Sampdoria,Unione Calcio Sampdoria,Unione Calcio Sampdoria,UC Sampdoria,U.C. Sampdoria
Хезболла,Hezbollah,Hezbollah,Хезбала,Хезболла,Хизбула,Hizballáh,Hesbol·là,Hezbolá,Hizbullah ,Hezbolah
Lancia,Lancia,Lancia,Lancia,Lancia,Ланча,Lancia,Lancia,Lancia,Lancia,Lancia
Aston Martin,Aston Martin,Aston Martin,Aston Martin,Aston Martin,Астон Мартин,Aston Martin,Aston Martin,Aston Martin,Aston Martin,Aston Martin
Экономический и Социальный Совет ООН,United Nations Economic and Social Council,Rada Gospodarcza i Społeczna Organizacji Narodów Zjednoczonych,Эканамічны і сацыяльны савет ААН,Економічна і соціальна рада ООН,Икономически и социален съвет на ООН,Ekonomická a sociální rada OSN,Consell Econòmic i Social de l'ONU,Consejo Económico y Social de las Naciones Unidas,Birleşmiş Milletler Ekonomik ve Sosyal Konseyi,Ekonomski in socialni svet
Нант ,FC Nantes,FC Nantes,ФК Нант,Нант ,ФК Нант,FC Nantes,Football Club de Nantes,Football Club de Nantes,FC Nantes,FC Nantes
Содружество наций,Commonwealth of Nations,Wspólnota Narodów,Садружнасць нацый,Співдружність націй,Общност на нациите,Commonwealth,Commonwealth,Mancomunidad de Naciones,İngiliz Milletler Topluluğu,Skupnost narodov
Британская библиотека,British Library,Biblioteka Brytyjska,Брытанская бібліятэка,Британська бібліотека,Британска библиотека,Britská knihovna,Biblioteca Britànica,British Library,Britanya Kütüphanesi,Britanska knjižnica
Фейеноорд,Feyenoord,Feyenoord,ФК Феенорд,Феєнорд,ФК Фейенорд,Feyenoord,Feyenoord Rotterdam,Feyenoord de Róterdam,Feyenoord,Feyenoord
Осасуна,CA Osasuna,CA Osasuna,ФК Асасуна,Осасуна,Клуб Атлетико Осасуна,CA Osasuna,Club Atlético Osasuna,Club Atlético Osasuna,CA Osasuna,CA Osasuna
Тулуза ,Toulouse FC,Toulouse FC,ФК Тулуза,Тулуза ,ФК Тулуза,Toulouse FC,Toulouse Football Club,Toulouse Football Club,Toulouse FC,Toulouse FC
Международный союз велосипедистов,Union Cycliste Internationale,Międzynarodowa Unia Kolarska,Міжнародны саюз веласіпедыстаў,Міжнародний союз велосипедистів,Международен колоездачен съюз,Mezinárodní cyklistická unie,Unió Ciclista Internacional,Unión Ciclista Internacional,Uluslararası Bisiklet Birliği,Mednarodna kolesarska zveza
Динамо ,GNK Dinamo Zagreb,Dinamo Zagrzeb,ФК Дынама Заграб,Динамо ,ФК Динамо ,GNK Dinamo Záhřeb,GNK Dinamo Zagreb,Građanski Nogometni Klub Dinamo Zagreb,GNK Dinamo Zagreb,GNK Dinamo Zagreb
Яд ва-Шем,Yad Vashem,Jad Waszem,Яд ва-Шэм,Яд Вашем,Яд ва-Шем,Jad vašem,Iad va-Xem,Yad Vashem,Yad Vaşem,Jad Vašem
Хайдук ,HNK Hajduk Split,Hajduk Split,ФК Хайдук Спліт,Хайдук ,ФК Хайдук ,HNK Hajduk Split,HNK Hajduk Split,Hrvatski Nogometni Klub Hajduk Split,HNK Hajduk Split,HNK Hajduk Split
North American Aviation,North American Aviation,North American Aviation,North American Aviation,North American Aviation,Норт Американ Авиейшън,North American Aviation,North American Aviation,North American Aviation,North American Aviation,North American Aviation
Nissan,Nissan,Nissan,Nissan,Nissan,Нисан Мотър Къмпани,Nissan,Nissan,Nissan,Nissan,Nissan
Нефтчи ,Neftçi PFK,Neftçi PFK,ФК Нефтчы Баку,Нефтчі ,ПФК Нефтчи,Neftçi Bakı PFK,Neftçi Peşəkar Futbol Klubu,Neftchi Baku PFK,Neftçi PFK,Neftçi PFK
Организация экономического сотрудничества и развития,OECD,Organizacja Współpracy Gospodarczej i Rozwoju,Арганізацыя эканамічнага супрацоўніцтва і развіцця,Організація економічного співробітництва та розвитку,Организация за икономическо сътрудничество и развитие,Organizace pro hospodářskou spolupráci a rozvoj,Organització de Cooperació i Desenvolupament Econòmic,Organización para la Cooperación y el Desarrollo Económicos,OECD,Organizacija za gospodarsko sodelovanje in razvoj
Сан-Паулу ,São Paulo FC,São Paulo FC,ФК Сан-Паўлу,Сан-Паулу ,Сао Пауло Футебол Клубе,São Paulo FC,São Paulo Futebol Clube,São Paulo Futebol Clube,São Paulo FC,São Paulo Futebol Clube
Opus Dei,Opus Dei,Opus Dei,Opus Dei,Opus Dei,Опус Деи,Opus Dei,Opus Dei,Opus Dei,Opus Dei,Opus Dei
Русенборг,Rosenborg BK,Rosenborg BK,ФК Русенбарг,Русенборг,ФК Розенборг,Rosenborg BK,Rosenborg Ballklub,Rosenborg Ballklub,Rosenborg BK,Rosenborg B.K.
Международный астрономический союз,International Astronomical Union,Międzynarodowa Unia Astronomiczna,Міжнародны астранамічны саюз,Міжнародний астрономічний союз,Международен астрономически съюз,Mezinárodní astronomická unie,Unió Astronòmica Internacional,Unión Astronómica Internacional,Uluslararası Astronomi Birliği,Mednarodna astronomska zveza
Mitsubishi Motors,Mitsubishi Motors,Mitsubishi Motors,Mitsubishi Motors,Mitsubishi Motors Corporation,Мицубиши Моторс,Mitsubishi Motors,Mitsubishi Motors,Mitsubishi Motors,Mitsubishi Motors,Mitsubishi Motors Corporation
Труа ,ES Troyes AC,Troyes AC,ФК Труа,Труа ,Троа ОШ,Troyes AC,Espérance Sportive Troyes Aube Champagne,Espérance Sportive Troyes Aube Champagne,Troyes AC,Troyes AC
EMI,EMI,EMI,EMI,EMI,И Ем Ай,EMI,EMI,EMI,EMI,EMI
Совет Безопасности ООН,United Nations Security Council,Rada Bezpieczeństwa Organizacji Narodów Zjednoczonych,Савет Бяспекі ААН,Рада Безпеки ООН,Съвет за сигурност на ООН,Rada bezpečnosti OSN,Consell de Seguretat de les Nacions Unides,Consejo de Seguridad de las Naciones Unidas,Birleşmiş Milletler Güvenlik Konseyi,Varnostni svet ZN
Организация Варшавского договора,Warsaw Pact,Układ Warszawski,Варшаўскі дагавор,Варшавський договір ,Варшавски договор,Varšavská smlouva,Pacte de Varsòvia,Pacto de Varsovia,Varşova Paktı,Varšavski pakt
Брага ,S.C. Braga,SC Braga,ФК Брага,Брага ,ФК Спортинг ,SC Braga,Sporting Clube de Braga,Sporting Clube de Braga,SC Braga,S.C. Braga
Activision,Activision,Activision,Activision,Activision,Активижън,Activision,Activision,Activision,Activision,Activision
Европейское экономическое сообщество,European Economic Community,Wspólnota Europejska,Еўрапейская эканамічная супольнасць,Європейська економічна спільнота,Европейска общност,Evropské hospodářské společenství,Comunitat Econòmica Europea,Comunidad Económica Europea,Avrupa Ekonomik Topluluğu,Evropska gospodarska skupnost
Honda,Honda,Honda,Honda,Honda,Хонда,Honda,Honda,Honda,Honda,Honda
Леванте ,Levante UD,Levante UD,ФК Левантэ,Леванте ,Леванте УД,Levante UD,Llevant Unió Esportiva,Levante Unión Deportiva,Levante UD,Levante UD
Ним ,Nîmes Olympique,Nîmes Olympique,ФК Нім Алімпік,Нім ,Олимпик Ним,Nîmes Olympique,Nîmes Olympique,Nîmes Olympique Football Club,Nîmes Olympique,Nîmes Olympique
Европейское космическое агентство,European Space Agency,Europejska Agencja Kosmiczna,Еўрапейскае касмічнае агенцтва,Європейське космічне агентство,Европейска космическа агенция,Evropská kosmická agentura,Agència Espacial Europea,Agencia Espacial Europea,Avrupa Uzay Ajansı,Evropska vesoljska agencija
ХАМАС,Hamas,Hamas,ХАМАС,Хамас,Хамас,Hamás,Hamàs,Hamás,Hamas,Hamas
Гент ,K.A.A. Gent,KAA Gent,ФК Гент,Гент ,КАА Гент,KAA Gent,Koninklijke Atletiek Associatie Gent,K. A. A. Gante,KAA Gent,KAA Gent
Боруссия ,Borussia Mönchengladbach,Borussia Mönchengladbach,ФК Барусія Мёнхенгладбах,Боруссія ,Борусия ФФЛ 1900 ,Borussia Mönchengladbach,Borussia VfL 1900 Mönchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach
Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Майкрософт,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft
Кубань ,FC Kuban Krasnodar,Kubań Krasnodar,ФК Кубань Краснадар,Кубань ,ФК Кубан Краснодар,FK Kubáň Krasnodar,FK Kuban Krasnodar,FC Kubán Krasnodar,FK Kuban,NK Kuban Krasnodar
Марибор ,NK Maribor,NK Maribor,ФК Марыбар,Марибор ,НК Марибор,NK Maribor,Nogometni Klub Maribor,NK Maribor,NK Maribor,Nogometni klub Maribor
Реал Сосьедад,Real Sociedad,Real Sociedad,ФК Рэал Сасьедад,Реал Сосьєдад,ФК Реал ,Real Sociedad,Real Sociedad de Fútbol,Real Sociedad de Fútbol,Real Sociedad,Real Sociedad
Бурсаспор,Bursaspor,Bursaspor,ФК Бурсаспор,Бурсаспор,Бурсаспор,Bursaspor,Bursaspor Kulübü,Bursaspor,Bursaspor ,Bursaspor
Коммунистический интернационал,Communist International,Międzynarodówka Komunistyczna,Камуністычны інтэрнацыянал,Комуністичний інтернаціонал,Комунистически интернационал,Kominterna,III Internacional,Internacional Comunista,Komintern,Kominterna
Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air liquide,Air liquide
Лига арабских государств,Arab League,Liga Państw Arabskich,Ліга арабскіх дзяржаў,Ліга арабських держав,Лига на арабските държави,Liga arabských států,Lliga Àrab,Liga Árabe,Arap Birliği,Arabska liga
Трудовая партия Кореи,Workers' Party of Korea,Partia Pracy Korei,Працоўная партыя Карэі,Трудова партія Кореї,Корейска работническа партия,Korejská strana práce,Partit del Treball de Corea,Partido del Trabajo de Corea,Kore İşçi Partisi,Delavska partija Koreje
Фрайбург ,SC Freiburg,SC Freiburg,ФК Фрайбург,Фрайбург ,ШК Фрайбург,SC Freiburg,Sport-Club Freiburg,SC Friburgo,SC Freiburg,SC Freiburg
American Broadcasting Company,American Broadcasting Company,American Broadcasting Company,ABC ,American Broadcasting Company,Ей Би Си,American Broadcasting Company,American Broadcasting Company,American Broadcasting Company,American Broadcasting Company,American Broadcasting Company
Европейский суд по правам человека,European Court of Human Rights,Europejski Trybunał Praw Człowieka,Еўрапейскі суд па правах чалавека,Європейський суд з прав людини,Европейски съд по правата на човека,Evropský soud pro lidská práva,Tribunal Europeu de Drets Humans,Tribunal Europeo de Derechos Humanos,Avrupa İnsan Hakları Mahkemesi,Evropsko sodišče za človekove pravice
Бенфика ,S.L. Benfica,SL Benfica,ФК Бенфіка Лісабон,Бенфіка ,ФК „Бенфика“,Benfica Lisabon,Sport Lisboa e Benfica,Sport Lisboa e Benfica,SL Benfica,Sport Lisboa e Benfica
АПОЭЛ ,APOEL FC,APOEL FC,ФК АПОЭЛ,АПОЕЛ ,ФК АПОЕЛ,APOEL FC,APOEL FC Nicòsia,APOEL de Nicosia,APOEL ,APOEL F.C.
Даллас Маверикс,Dallas Mavericks,Dallas Mavericks,Далас Маверыкс,Даллас Маверікс,Далас Маверикс,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks
Днепр ,FC Dnipro,FK Dnipro,ФК Дняпро Дніпро,Дніпро ,ФК Днипро,FK Dnipro,FC Dniprò,FC Dnipró,FK Dnipro,FK Dnipro
Всемирный фонд дикой природы,World Wide Fund for Nature,World Wide Fund for Nature,Сусветны фонд дзікай прыроды,Всесвітній фонд дикої природи,Световен фонд за природата,Světový fond na ochranu přírody,Fons Mundial per la Natura,Fondo Mundial para la Naturaleza,Dünya Doğayı Koruma Vakfı,Svetovni sklad za naravo
Завод имени Лихачёва,ZiL,ZiŁ,Завод імя Ліхачова,Автомобільний завод ім. І. О. Лихачова,ЗИЛ,ZIL,ZiL,ZIL,ZiL,ZiL
Северный совет,Nordic Council,Rada Nordycka,Паўночны савет,Північна рада,Северен съвет,Severská rada,Consell Nòrdic,Consejo Nórdico,İskandinav Kurulu,Nordijski svet
BirdLife International,BirdLife International,BirdLife International,BirdLife International,BirdLife International,Бърдлайф Интернешънъл,BirdLife International,BirdLife International,BirdLife International,BirdLife International,BirdLife International
Apple,Apple Inc.,Apple ,Apple,Apple Inc.,Епъл,Apple,Apple Inc,Apple,Apple,Apple Inc.
Висла ,Wisła Kraków,Wisła Kraków ,ФК Вісла Кракаў,Вісла ,ФК Висла ,Wisla Krakov,Wisla Cracòvia SA,Wisła Cracovia,Wisła Kraków,Wisła Kraków
Байер 04 ,Bayer 04 Leverkusen,Bayer 04 Leverkusen,ФК Баер 04 Леверкузен,Баєр 04,ФК Байер ,Bayer 04 Leverkusen,Bayer 04 Leverkusen Fußball GmbH,Bayer Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen
