en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
The climate in [???] and the southeast panhandle is a mid-latitude oceanic climate in the southern sections and a subarctic oceanic climate in the northern parts.,Климат в [???] и на юго-востоке Панхандла представляет собой океанический климат средних широт в южных частях и субарктический океанический климат в северных частях.,Klimat w [???] i południowo-zachodniej części kraju to klimat oceaniczny na średnich szerokościach geograficznych w częściach południowych i subarktyczny klimat oceaniczny w częściach północnych.,Клімат у [???] і паўднёва-ўсходняй частцы краіны - гэта акіянічны клімат сярэдніх шырот у паўднёвых частках і субарктычны акіянічны клімат у паўночных частках.,Клімат в [???] і південно-східній частині — це океанічний клімат середніх широт у південних частинах і субарктичний океанічний клімат у північних частинах.,Климатът в [???] и югоизточната част е океански климат със средна ширина в южните части и субарктически океански климат в северните части.,Podnebje v [???] in jugovzhodnem pasu je oceansko podnebje srednje zemljepisne širine v južnih delih in subarktično oceansko podnebje v severnih delih.,Klima v [???] a jihovýchodní pás je oceánské klima střední šířky v jižních částech a subarktické oceánské klima v severních částech.,El clima a [???] i el panhandle sud-est és un clima oceànic de latitud mitjana a les seccions del sud i un clima oceànic subàrtic a les parts del nord.,El clima en [???] y el sureste del Panhandle es un clima oceánico de latitud media en las secciones del sur y un clima oceánico subártico en las partes del norte.,"[???] ve güneydoğu panhandle'deki iklim, güney kesimlerde orta enlem okyanus iklimi ve kuzey kesimlerde yarı arktik okyanus iklimidir."
This is also the only region in [???] in which the average daytime high temperature is above freezing during the winter months.,"Это также единственный регион в [???], в котором средняя дневная высокая температура в зимние месяцы выше нуля.","Jest to również jedyny region w [???], w którym średnia temperatura w ciągu dnia jest powyżej zera w miesiącach zimowych.","Гэта таксама адзіны рэгіён у [???], дзе сярэдняя дзённая высокая тэмпература ў зімовыя месяцы вышэй за нуль.","Це також єдиний регіон в [???], де середня денна температура вище нуля протягом зимових місяців.","Това е и единственият регион в [???], в който средната дневна температура е над нулата през зимните месеци.","To je tudi edina regija v [???], kjer je povprečna najvišja dnevna temperatura v zimskih mesecih nad lediščem.","Toto je také jediný region v [???], ve kterém je průměrná denní vysoká teplota v zimních měsících nad bodem mrazu.",Aquesta és també l'única regió de [???] on la temperatura mitjana diürna és superior a la congelació durant els mesos d'hivern.,Esta es también la única región en [???] en la que la temperatura alta promedio durante el día está por encima del punto de congelación durante los meses de invierno.,Bu aynı zamanda [???]'da kış aylarında ortalama gündüz yüksek sıcaklığının donma noktasının üzerinde olduğu tek bölgedir.
"Additionally, substantial coal deposits are found in [???]'s bituminous, sub-bituminous, and lignite coal basins.","Кроме того, в битуминозных, полубитуминозных и лигнитных угольных бассейнах [???] обнаружены значительные залежи угля.","Ponadto znaczne złoża węgla znajdują się w basenach węgla bitumicznego, subbitumicznego i węgla brunatnego [???].","Акрамя таго, значныя радовішчы каменнага вугалю знаходзяцца ў [???] бітумінозных, суббітумінозных і буравугальных басейнах.","Крім того, значні поклади вугілля знаходяться в бітумінозних, суббітумінозних і буровугільних басейнах [???].","Освен това, значителни находища на въглища се намират в битуминозните, суббитуминозните и лигнитните въглищни басейни на [???].","Poleg tega so znatna nahajališča premoga v [???] bazenih bituminoznega, subbitumenskega in lignita.","Kromě toho se značná ložiska uhlí nacházejí v kamenných, podbituminózních a lignitových uhelných pánvích [???].","A més, es troben dipòsits importants de carbó a les conques de carbó bituminós, subbituminós i lignit de [???].","Además, se encuentran importantes depósitos de carbón en las cuencas de carbón bituminoso, subbituminoso y de lignito de [???].","Ek olarak, [???]'nın bitümlü, alt bitümlü ve linyit kömür havzalarında önemli kömür yatakları bulunur."
The cost of goods in [???] has long been higher than in the contiguous 48 states.,"Стоимость товаров в [???] уже давно выше, чем в соседних 48 штатах.",Koszt towarów w [???] od dawna jest wyższy niż w sąsiednich 48 stanach.,"Кошт тавараў у [???] даўно вышэйшы, чым у сумежных 48 штатах.","Вартість товарів у [???] вже давно вища, ніж у сусідніх 48 штатах.","Цената на стоките в [???] отдавна е по-висока, отколкото в съседните 48 щата.",Stroški blaga v [???] so že dolgo višji kot v sosednjih 48 državah.,Náklady na zboží v [???] jsou dlouhodobě vyšší než v sousedních 48 státech.,El cost dels béns a [???] fa temps que és més alt que als 48 estats contigus.,El costo de los bienes en [???] ha sido durante mucho tiempo más alto que en los 48 estados contiguos.,"[???]'daki malların maliyeti, bitişik 48 eyalettekinden uzun süredir daha yüksek."
"Due to the northern climate and steep terrain, relatively little farming occurs in [???].",Из-за северного климата и крутой местности в [???].,Ze względu na północny klimat i strome ukształtowanie terenu w [???] uprawia się stosunkowo mało rolnictwa.,З-за паўночнага клімату і крутога рэльефу ў [???] адносна мала сельскай гаспадаркі.,Через північний клімат і крутий рельєф у [???] відносно мало сільського господарства.,"Поради северния климат и стръмния терен, в [???] има относително малко земеделие.",Zaradi severnega podnebja in strmega terena je v [???] razmeroma malo kmetovanja.,Vzhledem k severnímu klimatu a strmému terénu se v [???] vyskytuje relativně málo zemědělství.,"A causa del clima del nord i del terreny escarpat, a [???] hi ha relativament poca agricultura.","Debido al clima del norte y al terreno escarpado, en [???] se practica relativamente poca agricultura.","Kuzey iklimi ve sarp arazi nedeniyle, [???]'da nispeten az tarım yapılmaktadır."
"Most food in [???] is transported into the state from"" outside"", and shipping costs make food in the cities relatively expensive.","Большая часть еды в [???] доставляется в штат извне, а стоимость доставки делает еду в городах относительно дорогой.","Większość żywności w [???] jest transportowana do stanu „z zewnątrz”, a koszty transportu sprawiają, że żywność w miastach jest stosunkowo droga.","Большая частка ежы ў [???] транспартуецца ў штат ""звонку"", і кошт дастаўкі робіць ежу ў гарадах адносна дарагой.","Більшість їжі в [???] транспортується в штат «зовні», а вартість доставки робить їжу в містах відносно дорогою.","Повечето храни в [???] се транспортират в щата от „вън“, а разходите за доставка правят храната в градовете сравнително скъпа.","Večina hrane v [???] se v zvezno državo prevaža ""od zunaj"", zaradi stroškov pošiljanja pa je hrana v mestih relativno draga.",Většina potravin v [???] se do státu dopravuje „zvenčí“ a náklady na dopravu činí jídlo ve městech relativně drahým.,"La majoria dels aliments a [???] es transporten a l'estat des de ""fora"", i els costos d'enviament fan que els aliments a les ciutats siguin relativament cars.","La mayoría de los alimentos en [???] se transportan al estado desde ""fuera"", y los costos de envío hacen que los alimentos en las ciudades sean relativamente caros.","[???]'daki yiyeceklerin çoğu eyalete ""dışarıdan"" taşınıyor ve nakliye masrafları şehirlerdeki yiyecekleri nispeten pahalı hale getiriyor."
"In recent years, the ever-improving paved highway system began to eclipse the railroad's importance in [???]'s economy.",В последние годы постоянно совершенствующаяся система автомагистралей с твердым покрытием начала затмевать важность железных дорог в экономике [???] .,W ostatnich latach stale ulepszany system utwardzonych autostrad zaczął przyćmiewać znaczenie kolei w gospodarce [???].,"У апошнія гады сістэма дарог з цвёрдым пакрыццём, якая пастаянна ўдасканальваецца, пачала зацямняць значэнне чыгункі ў эканоміцы [???] краіны.","В останні роки система автомобільних доріг з твердим покриттям, що постійно вдосконалювалася, почала затьмарювати важливість залізниці в економіці [???].",През последните години непрекъснато подобряващата се павирана магистрална система започна да засенчва значението на железопътната линия в икономиката на [???].,V zadnjih letih je vse boljši sistem asfaltiranih avtocest začel zasenčiti pomen železnice v [???] gospodarstvu.,V posledních letech stále se zlepšující systém dlážděných dálnic začal zatemňovat význam železnice v ekonomice [???].,"En els darrers anys, el sistema d'autopistes pavimentades en constant millora va començar a eclipsar la importància del ferrocarril en l'economia de [???].","En los últimos años, el sistema de carreteras pavimentadas en constante mejora comenzó a eclipsar la importancia del ferrocarril en la economía de [???].","Son yıllarda, sürekli gelişen asfalt karayolu sistemi, [???] ekonomisinde demiryolunun önemini gölgede bırakmaya başladı."
"In areas not served by road or rail, primary transportation in summer is by all-terrain vehicle and in winter by snowmobile or"" snow machine,"" as it is commonly referred to in [???].","В районах, не обслуживаемых автомобильным или железнодорожным транспортом, основной транспорт летом осуществляется на вездеходах, а зимой на снегоходах или «снегоходах», как их обычно называют в [???].","Na obszarach nieobsługiwanych przez drogi ani koleje, podstawowym transportem latem jest pojazd terenowy, a zimą skuter śnieżny lub „maszyna śnieżna”, jak to powszechnie określa się w [???].","У раёнах, якія не абслугоўваюцца аўтамабільным або чыгуначным транспартам, асноўным транспартам летам з'яўляюцца ўсюдыходы, а зімой - снегаходы або ""снегоходы"", як гэта звычайна называюць у [???].","У районах, які не обслуговуються автомобільним або залізничним транспортом, основним транспортом влітку є всюдихід, а взимку — снігохід або «снігохід», як це зазвичай називають [???].","В райони, които не се обслужват от автомобилен или железопътен транспорт, основният транспорт през лятото е с превозно средство за всички терени, а през зимата с моторна шейна или „машина за сняг“, както обикновено се споменава в [???].","Na območjih, ki niso oskrbovana s cestami ali železnicami, je primarni prevoz poleti terensko vozilo, pozimi pa motorne sani ali ""snežni stroj"", kot se običajno imenuje [???].","V oblastech, které nejsou obsluhovány silnicí nebo železnicí, je primární doprava v létě terénním vozidlem a v zimě sněžným skútrem nebo „sněžným strojem“, jak je běžně označováno v [???].","A les zones no servides per carretera o ferrocarril, el transport principal a l'estiu és amb vehicle tot terreny i a l'hivern amb moto de neu o ""màquina de neu"", com s'anomena habitualment a [???].","En áreas que no cuentan con carretera o ferrocarril, el transporte principal en verano es en vehículos todo terreno y en invierno en motos de nieve o ""máquinas de nieve"", como se las denomina comúnmente en [???].","Karayolu veya demiryolu ile hizmet verilmeyen alanlarda, yazın birincil ulaşım arazi aracı, kışın ise kar arabası veya [???]'da genel olarak atıfta bulunulan ""kar makinesi"" ile yapılır."
"A part of the revenue collected from certain state taxes and license fees( such as petroleum, aviation motor fuel, telephone cooperative) is shared with municipalities in [???].","Часть доходов, получаемых от некоторых государственных налогов и лицензионных сборов (таких как нефть, авиационное топливо, телефонный кооператив), распределяется между муниципалитетами в [???].","Część dochodów uzyskanych z niektórych podatków państwowych i opłat licencyjnych (takich jak ropa naftowa, paliwo lotnicze, spółdzielnia telefoniczna) jest dzielona z gminami w [???].","Частка даходаў, атрыманых ад некаторых дзяржаўных падаткаў і ліцэнзійных збораў (такіх як нафта, авіяцыйнае маторнае паліва, тэлефонныя кааператывы), дзеліцца з муніцыпалітэтамі ў [???].","Частина доходів, отриманих від певних державних податків і ліцензійних зборів (таких як нафта, авіаційне моторне паливо, телефонний кооператив), ділиться з муніципалітетами в [???].","Част от приходите, събрани от някои държавни данъци и лицензионни такси (като нефт, авиационно моторно гориво, телефонна кооперация) се споделят с общините в [???].","Del prihodkov, zbranih od nekaterih državnih davkov in licenčnin (kot so nafta, letalsko motorno gorivo, telefonske zadruge), se deli z občinami v [???].","Část příjmů vybraných z některých státních daní a licenčních poplatků (např. nafta, letecké motorové palivo, telefonní družstvo) je sdílena s obcemi v [???].","Una part dels ingressos recaptats de determinats impostos estatals i taxes de llicència (com ara el petroli, el combustible d'aviació, les cooperatives telefòniques) es comparteixen amb els municipis de [???].","Una parte de los ingresos recaudados de ciertos impuestos estatales y derechos de licencia (como petróleo, combustible para motores de aviación, cooperativa telefónica) se comparte con los municipios de [???].","Belirli devlet vergileri ve lisans ücretlerinden (petrol, havacılık motor yakıtı, telefon kooperatifi gibi) toplanan gelirin bir kısmı [???] belediyeleri ile paylaşılmaktadır."
A recording district is a mechanism for administration of the public record in [???].,Район записи — это механизм управления публичными записями в [???].,Obwód ewidencyjny jest mechanizmem administrowania rejestrem publicznym w [???].,Акруга запісу - гэта механізм адміністравання грамадскага запісу ў [???].,Район запису — це механізм адміністрування публічного запису в [???].,Районът за запис е механизъм за администриране на публичния регистър в [???].,Snemalno okrožje je mehanizem za upravljanje javnih evidenc v [???].,Záznamový obvod je mechanismus pro správu veřejných záznamů v [???].,Un districte d'enregistrament és un mecanisme per a l'administració del registre públic a [???].,Un distrito de registro es un mecanismo para la administración del registro público en [???].,"Bir kayıt bölgesi, [???]'daki kamu kayıtlarının yönetimi için bir mekanizmadır."
"It is one of the largest sources of greenhouse gases, responsible for 18% of the world's greenhouse gas emissions as measured in [???] 2 equivalents.","Это один из крупнейших источников парниковых газов, ответственный за 18% мировых выбросов парниковых газов, измеряемых в [???] 2 эквивалентах.","Jest to jedno z największych źródeł gazów cieplarnianych, odpowiedzialne za 18% światowej emisji gazów cieplarnianych, mierzonej w [???] 2 ekwiwalentach.","Гэта адна з найбуйнейшых крыніц парніковых газаў, адказная за 18% сусветных выкідаў парніковых газаў, вымераных у [???] 2 эквівалентах.","Це одне з найбільших джерел парникових газів, що відповідає за 18% світових викидів парникових газів, виміряних у [???] 2 еквівалентах.","Това е един от най-големите източници на парникови газове, отговорен за 18% от световните емисии на парникови газове, измерени в [???] 2 еквивалента.","Je eden največjih virov toplogrednih plinov, odgovoren za 18 % svetovnih emisij toplogrednih plinov, merjeno v [???] 2 ekvivalentih.","Je to jeden z největších zdrojů skleníkových plynů, který je zodpovědný za 18 % světových emisí skleníkových plynů měřeno v [???] 2 ekvivalentech.","És una de les fonts més grans de gasos d'efecte hivernacle, responsable del 18% de les emissions de gasos d'efecte hivernacle del món mesurades en [???] 2 equivalents.","Es una de las mayores fuentes de gases de efecto invernadero, responsable del 18% de las emisiones de gases de efecto invernadero del mundo, medidas en [???] 2 equivalentes.",[???] 2 eşdeğeri ile ölçülen dünyadaki sera gazı emisyonlarının %18'inden sorumlu olan en büyük sera gazı kaynaklarından biridir.
The picaresque novel originated in [???] in the middle of the fifteenth century.,Пикарескный роман возник в [???] в середине пятнадцатого века.,Powieść łotrzykowska powstała w [???] w połowie XV wieku.,Пікарэскавы раман узнік [???] у сярэдзіне ХV ст.,Пікаресковий роман виник у [???] середині ХV ст.,Пикаресковият роман възниква през [???] в средата на петнадесети век.,Picareskni roman je nastal leta [???] sredi petnajstega stoletja.,Pikareskní román vznikl v [???] v polovině patnáctého století.,La novel·la picaresca es va originar a [???] a mitjans del segle XV.,La novela picaresca se originó en [???] a mediados del siglo XV.,Pikaresk roman [???] 15. yüzyılın ortalarında ortaya çıktı.
"He wrote about an island where most trees are of brazil wood and, from this island, he went to one ten leagues away, where they had houses built as in [???].","Он написал об острове, где большинство деревьев из бразильского дерева, и с этого острова он отправился на один в десяти лигах, где были построены дома, как в [???].","Pisał o wyspie, na której większość drzew jest z drewna brazylijskiego iz tej wyspy udał się na oddaloną o dziesięć mil, gdzie mieli domy zbudowane jak w [???].","Ён пісаў пра востраў, дзе большасць дрэў зроблена з бразільскага дрэва, і з гэтага вострава ён адправіўся на востраў у дзесяці лье, дзе былі пабудаваны дамы, як у [???].","Він писав про острів, де більшість дерев складається з бразильського дерева, і з цього острова він пішов на один із десяти льє, де були побудовані будинки, як у [???].","Той пише за остров, където повечето дървета са от бразилско дърво и от този остров той отиде на един от десет левги, където имаха къщи, построени като през [???].","Pisal je o otoku, kjer je večina dreves iz brazilskega lesa in s tega otoka je šel na enega deset lig stran, kjer so imeli hiše zgrajene kot leta [???].","Psal o ostrově, kde je většina stromů z brazilského dřeva, az tohoto ostrova se vydal na deset mil daleko, kde měli domy postavené jako v [???].","Va escriure sobre una illa on la majoria d'arbres són de fusta brasilera i, des d'aquesta illa, va anar a una deu llegües de distància, on van fer construir cases com a [???].","Escribió sobre una isla donde la mayoría de los árboles son de palo brasil y de esta isla se fue a una que estaba a diez leguas, donde tenían casas construidas como en [???].","Ağaçların çoğunun brezilya ağacından olduğu bir ada hakkında yazdı ve bu adadan on fersah ötedeki birine gitti, [???] 'daki gibi evler inşa ettirdiler."
"Deficit spending has been a staple in [???]'s history, and modestly high inflation has been present as well.","Дефицит расходов был одним из основных продуктов в истории [???] в истории, и умеренно высокая инфляция также присутствовала.","Wydatki deficytowe były podstawą historii [???], występowała również umiarkowanie wysoka inflacja.","Дэфіцыт выдаткаў быў адным з асноўных прадуктаў у гісторыі [???], а таксама прысутнічала сціпла высокая інфляцыя.","Дефіцитні витрати були основним продуктом в історії [???], і також була присутня помірно висока інфляція.","Разходите с дефицит са били основен елемент в историята на [???], а умерено високата инфлация също присъства.","Poraba primanjkljaja je bila stalnica v [???] zgodovini, prisotna je bila tudi zmerno visoka inflacija.",Deficitní výdaje byly v historii [???] základem a byla přítomna i mírně vysoká inflace.,"La despesa amb dèficit ha estat un element bàsic en la història de [???], i també hi ha estat present una inflació modestament alta.","El gasto deficitario ha sido un elemento básico en la historia de [???], y también ha habido una inflación moderadamente alta.","Açık harcama, [???] tarihinde temel bir unsur olmuştur ve mütevazı derecede yüksek enflasyon da mevcuttur."
Language can be seen as an important part of island culture in [???].,Язык можно рассматривать как важную часть островной культуры в [???].,Język można postrzegać jako ważną część kultury wyspiarskiej w [???].,Мова можа разглядацца як важная частка астраўной культуры ў [???].,Мова може розглядатися як важлива частина острівної культури в [???].,Езикът може да се разглежда като важна част от островната култура в [???].,Jezik se lahko obravnava kot pomemben del otoške kulture v [???].,Jazyk může být viděn jako důležitá součást kultury ostrova v [???].,La llengua es pot veure com una part important de la cultura de l'illa a [???].,El idioma puede verse como una parte importante de la cultura isleña en [???].,"Dil, [???]'da ada kültürünün önemli bir parçası olarak görülebilir."
