en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
 The [???] is responsible for carrying out both foreign and domestic policies.," [???] отвечает за проведение как внешней, так и внутренней политики."," [???] odpowiada za prowadzenie zarówno polityki zagranicznej, jak i wewnętrznej."," [???] адказвае за правядзенне як знешняй, так і ўнутранай палітыкі."," [???] відповідає за проведення як зовнішньої, так і внутрішньої політики."," [???] отговаря за провеждането както на външната, така и на вътрешната политика.", [???] je odgovoren za izvajanje zunanje in notranje politike., [???] je odpovědná za provádění zahraniční i domácí politiky., El [???] és l'encarregat de dur a terme les polítiques tant exteriors com interiors., El [???] es responsable de llevar a cabo tanto la política exterior como la interior., [???] hem dış hem de iç politikaları yürütmekten sorumludur.
" [???] has a past of being heavily influenced by the ruling party in its reporting, that being left or right winged."," [???] в прошлом находился под сильным влиянием правящей партии в своих репортажах, будучи левым или правым."," [???] w przeszłości był pod silnym wpływem partii rządzącej w swoich raportach, zarówno lewicowych, jak i prawicowych."," [???] у мінулым знаходзіўся пад моцным уплывам кіруючай партыі ў сваіх справаздачах, якія былі левымі ці правымі."," [???] у минулому перебував під сильним впливом правлячої партії у своїй звітності, яка була лівою чи правою."," [???] в миналото е бил силно повлиян от управляващата партия в своите доклади, независимо дали са леви или десни."," [???] je bil v preteklosti pod močnim vplivom vladajoče stranke pri poročanju, ki je levo ali desno."," [???] má za sebou minulost, kdy byl ve svých zprávách silně ovlivňován vládnoucí stranou, levicovou nebo pravicovou stranou."," [???] té un passat de ser molt influenciat pel partit governant en els seus informes, que és d'esquerra o dreta."," [???] tiene un pasado de estar fuertemente influenciado por el partido gobernante en sus informes, ya sea de izquierda o de derecha."," [???], haberlerinde iktidar partisinin yoğun bir şekilde etkilenmesi, sol veya sağcı olması gibi bir geçmişe sahiptir."
 [???] has also used the game for its other late ' 90s and 2000 's anthology series., [???] также использовал эту игру для других своих антологий конца 90-х и 2000-х годов., [???] wykorzystał tę grę również w swojej innej serii antologii z późnych lat 90. i 2000., [???] таксама выкарыстаў гульню для сваіх іншых анталагічных серый канца 90-х і 2000-х., [???] також використовував гру для інших серій антології кінця 90-х і 2000-х років., [???] също използва играта за другите си антологични серии от края на 90-те и 2000-те., [???] je igro uporabil tudi za svoje druge antološke serije iz poznih 90-ih in leta 2000., [???] také použil hru pro své další antologické série z konce 90. let a 2000. let., [???] també ha utilitzat el joc per a les seves altres sèries d'antologia de finals dels anys 90 i 2000., [???] también ha usado el juego para sus otras series de antología de finales de los 90 y 2000., [???] oyunu 90'ların sonu ve 2000'lerin diğer antoloji serileri için de kullandı.
" To achieve this, [???] has usually engineered its cars with a longitudinally front mounted engine, in an "" overhung "" position, over the front wheels in front of the axle line."," Чтобы достичь этого, [???] обычно проектирует свои автомобили с продольно расположенным двигателем, расположенным в «свисающем» положении над передними колесами перед осевой линией."," Aby to osiągnąć, [???] zwykle konstruuje swoje samochody z silnikiem montowanym wzdłużnie z przodu, w pozycji „nadwieszonej”, nad przednimi kołami przed linią osi."," Каб дамагчыся гэтага, [???] звычайна распрацоўваў свае аўтамабілі з падоўжна спераду размешчаным рухавіком, у ""навіслым"" становішчы, над пярэднімі коламі перад лініяй восі."," Щоб досягти цього, [???] зазвичай розробляє свої автомобілі з поздовжньою передньою установкою двигуна, у «звисаючому» положенні, над передніми колесами перед лінією осі."," За да постигне това, [???] обикновено проектира колите си с надлъжно монтиран отпред двигател, в ""надвесна"" позиция, над предните колела пред линията на оста."," Da bi to dosegel, je [???] svoje avtomobile običajno izdelal z vzdolžno spredaj nameščenim motorjem, v ""previsenem"" položaju, nad prednjimi kolesi pred osjo."," Aby toho dosáhl, [???] obvykle konstruoval své vozy s motorem namontovaným podélně vpředu, v „převislé“ poloze, nad předními koly před linií nápravy."," Per aconseguir-ho, [???] ha dissenyat normalment els seus cotxes amb un motor muntat longitudinalment davanter, en una posició ""en volada"", sobre les rodes davanteres davant de la línia de l'eix."," Para lograr esto, [???] generalmente ha diseñado sus autos con un motor montado longitudinalmente en la parte delantera, en una posición de ""voladizo"", sobre las ruedas delanteras frente a la línea del eje."," Bunu başarmak için [???], arabalarını genellikle aks hattının önünde ön tekerleklerin üzerinde "" sarkık "" konumda, uzunlamasına öne monte edilmiş bir motorla tasarlamıştır ."
" Beginning in 2006, [???] has implemented white LED technology as daytime running lights in their products."," Начиная с 2006 года, [???] применяет технологию белых светодиодов в качестве дневных ходовых огней в своей продукции.", Od 2006 roku firma [???] wdraża w swoich produktach technologię białych diod LED jako światła do jazdy dziennej.," Пачынаючы з 2006 года, [???] укараніла тэхналогію белага святлодыёда ў якасці дзённых хадавых агнёў у сваёй прадукцыі.", Починаючи з 2006 року [???] реалізувала технологію білих світлодіодів як денні ходові вогні у своїй продукції., В началото на 2006 г. [???] внедри бяла LED технология като дневни светлини в своите продукти., Od leta 2006 je [???] v svoje izdelke uvedel belo LED tehnologijo kot dnevne luči., Počínaje rokem 2006 společnost [???] zavedla do svých produktů technologii bílých LED jako světla pro denní svícení.," A partir del 2006, [???] ha implementat la tecnologia LED blanc com a llums de circulació diürna als seus productes."," A partir de 2006, [???] ha implementado tecnología LED blanca como luces de circulación diurna en sus productos."," 2006'dan başlayarak [???], ürünlerinde gündüz yanan farlar olarak beyaz LED teknolojisini uyguladı."
 [???] has competed in numerous forms of motorsports., [???] участвовал во многих видах автоспорта., [???] brał udział w wielu formach sportów motorowych., [???] спаборнічаў у розных відах аўтаспорту., [???] брав участь у багатьох видах автоспорту., [???] се е състезавал в различни видове моторни спортове., [???] je tekmoval v številnih oblikah motošporta., [???] soutěžil v mnoha formách motoristického sportu., [???] ha competit en nombroses formes d'esports de motor., [???] ha competido en numerosas formas de deportes de motor., [???] çok sayıda motor sporu türünde yarıştı.
 [???] is a strong partner of different kinds of sports., [???] является сильным партнером в различных видах спорта., [???] jest silnym partnerem różnego rodzaju sportów., [???] з'яўляецца моцным партнёрам розных відаў спорту., [???] є сильним партнером різних видів спорту., [???] е силен партньор на различни видове спорт., [???] je močan partner različnih vrst športa., [???] je silným partnerem různých druhů sportů., [???] és un sòlid soci de diferents tipus d'esports., [???] es un socio fuerte de diferentes tipos de deportes.," [???], farklı spor türlerinin güçlü bir ortağıdır."
 [???] has stated that additional content will be added in 2010.," [???] заявил, что дополнительный контент будет добавлен в 2010 году."," [???] stwierdził, że dodatkowe treści zostaną dodane w 2010 roku."," [???] заявіў, што дадатковы кантэнт будзе дададзены ў 2010 годзе."," [???] заявив, що додатковий вміст буде додано в 2010 році."," [???] заяви, че през 2010 г. ще бъде добавено допълнително съдържание."," [???] je izjavil, da bo leta 2010 dodana dodatna vsebina."," [???] uvedl, že další obsah bude přidán v roce 2010.", [???] ha declarat que s'afegirà contingut addicional el 2010., [???] ha declarado que se agregará contenido adicional en 2010., [???] 2010 yılında ek içeriğin ekleneceğini belirtti.
 The next phase of technology [???] is developing is the e-tron electric drive powertrain system., Следующим этапом развития технологии [???] является система трансмиссии с электроприводом e-tron., Następną fazą rozwoju technologii [???] jest elektryczny układ napędowy e-tron., Наступным этапам развіцця тэхналогіі [???] з'яўляецца сістэма электрапрывада e-tron., Наступним етапом розвитку технології [???] є система трансмісії електроприводу e-tron.," Следващата фаза на технологията [???], която се развива, е системата за задвижване с електрическо задвижване e-tron."," Naslednja faza tehnologije [???], ki se razvija, je električni pogonski sistem e-tron.", Další fází vývoje technologie [???] je systém elektrického pohonu e-tron., La següent fase de la tecnologia [???] que s'està desenvolupant és el sistema de propulsió elèctrica e-tron., La próxima fase de la tecnología [???] que se está desarrollando es el sistema de tren motriz de accionamiento eléctrico e-tron.," Teknolojinin [???] bir sonraki aşaması, e-tron elektrikli tahrik aktarma sistemidir."
 Much of the software [???] develops is bundled with its computers.," Большая часть программного обеспечения, которое [???] разрабатывает, поставляется вместе с его компьютерами.", Znaczna część oprogramowania [???] rozwijanego jest dołączana do jego komputerów., Большая частка праграмнага забеспячэння [???] распрацоўваецца ў камплекце з камп'ютарамі.," Значна частина програмного забезпечення, яке [???] розробляється, постачається разом із його комп’ютерами."," Голяма част от софтуера, който [???] разработва, е в комплект с неговите компютри."," Velik del programske opreme [???], ki jo razvije, je priložen računalnikom."," Velká část softwaru, který [???] vyvíjí, je součástí jeho počítačů.", Gran part del programari [???] que desenvolupa s'inclou amb els seus ordinadors., Gran parte del software que [???] desarrolla se incluye con sus computadoras.," [???] tarafından geliştirilen yazılımın çoğu, bilgisayarlarıyla birlikte gelir."
" While this brand loyalty is considered unusual for any product, [???] appears not to have gone out of its way to create it."," Хотя эта лояльность к бренду считается необычной для любого продукта, [???], похоже, не приложила усилий для ее создания."," Chociaż ta lojalność wobec marki jest uważana za niezwykłą w przypadku każdego produktu, wydaje się, że [???] nie zadał sobie trudu, aby ją stworzyć."," Нягледзячы на ​​тое, што гэтая лаяльнасць да брэнда лічыцца незвычайнай для любога прадукту, [???], здаецца, не зрабіў усё магчымае, каб яе стварыць."," Хоча ця лояльність до бренду вважається незвичайною для будь-якого продукту, [???], схоже, не доклав зусиль для її створення."," Докато тази лоялност към марката се счита за необичайна за всеки продукт, [???] изглежда не е направил всичко възможно, за да я създаде."," Medtem ko se ta zvestoba blagovni znamki šteje za nenavadno za kateri koli izdelek, se zdi, da se [???] ni potrudil, da bi jo ustvaril."," I když je tato věrnost značce považována za neobvyklou u jakéhokoli produktu, zdá se, že [???] nevyšla ze své cesty k jejímu vytvoření."," Tot i que aquesta lleialtat a la marca es considera inusual per a qualsevol producte, sembla que [???] no ha fet el possible per crear-lo."," Si bien esta lealtad a la marca se considera inusual para cualquier producto, [???] parece no haberse tomado la molestia de crearla."," Bu marka sadakati, herhangi bir ürün için olağandışı kabul edilse de, [???] onu yaratmak için yolundan çıkmamış gibi görünüyor."
" While the conferences continue, [???] does not have official representation there."," Пока конференции продолжаются, [???] не имеет там официального представительства."," Podczas gdy konferencje trwają, [???] nie ma tam oficjalnej reprezentacji."," Пакуль канферэнцыі працягваюцца, [???] не мае там афіцыйнага прадстаўніцтва."," Поки конференції тривають, [???] не має там офіційного представництва."," Докато конференциите продължават, [???] няма официално представителство там."," Medtem ko se konference nadaljujejo, [???] tam nima uradnega predstavništva."," Zatímco konference pokračují, [???] tam nemá oficiální zastoupení."," Mentre les conferències continuen, [???] no hi té representació oficial."," Mientras continúan las conferencias, [???] no tiene representación oficial allí."," Konferanslar devam ederken, [???]'nın orada resmi bir temsilciliği yok."
" [???] has a history of vertical integration in their products, manufacturing the hardware on which they pre-install their software."," [???] имеет опыт вертикальной интеграции своих продуктов, производя аппаратное обеспечение, на которое они предварительно устанавливают свое программное обеспечение."," [???] ma historię pionowej integracji swoich produktów, produkując sprzęt, na którym wstępnie instaluje swoje oprogramowanie."," [???] мае гісторыю вертыкальнай інтэграцыі ў сваіх прадуктах, вырабляючы абсталяванне, на якое яны папярэдне ўсталёўваюць сваё праграмнае забеспячэнне."," [???] має історію вертикальної інтеграції у своїх продуктах, виробляючи апаратне забезпечення, на яке вони попередньо встановлюють своє програмне забезпечення."," [???] има история на вертикална интеграция в продуктите си, произвеждайки хардуера, на който предварително инсталират своя софтуер."," [???] ima zgodovino vertikalne integracije svojih izdelkov, izdeluje strojno opremo, na katero vnaprej namesti svojo programsko opremo."," [???] má za sebou historii vertikální integrace ve svých produktech a vyrábí hardware, na který předinstalovává svůj software."," [???] té un historial d'integració vertical en els seus productes, fabricant el maquinari en el qual preinstal·len el seu programari."," [???] tiene un historial de integración vertical en sus productos, fabricando el hardware en el que preinstalan su software."," [???], yazılımlarını önceden yükledikleri donanımı üreten, ürünlerinde dikey entegrasyon geçmişine sahiptir."
 [???] has also begun to advertise how environmentally friendly their new laptops are with television spots and magazine ads along with stating these facts on their website.," [???] также начали рекламировать экологичность своих новых ноутбуков в телевизионных роликах и рекламе в журналах, а также размещать эти факты на своем веб-сайте."," [???] zaczął również reklamować, jak przyjazne dla środowiska są ich nowe laptopy, za pomocą spotów telewizyjnych i reklam w czasopismach oraz podając te fakty na swojej stronie internetowej."," [???] таксама пачалі рэкламаваць, наколькі экалагічна чыстыя іх новыя ноўтбукі, з дапамогай тэлевізійных ролікаў і рэкламы ў часопісах, а таксама выкладаючы гэтыя факты на сваім сайце."," [???] також почали рекламувати екологічність своїх нових ноутбуків за допомогою телевізійних роликів і реклами в журналах, а також викладати ці факти на своєму веб-сайті."," [???] също започнаха да рекламират колко щадящи околната среда са новите им лаптопи с телевизионни клипове и реклами в списания, заедно с посочването на тези факти на техния уебсайт."," [???] je prav tako začel oglaševati, kako okolju prijazni so njihovi novi prenosniki, s televizijskimi vložki in oglasi v revijah, skupaj z navajanjem teh dejstev na svoji spletni strani."," Společnost [???] také začala inzerovat, jak jsou jejich nové notebooky šetrné k životnímu prostředí, prostřednictvím televizních spotů a reklam v časopisech spolu s uvedením těchto skutečností na svých webových stránkách."," [???] també ha començat a anunciar com són respectuosos amb el medi ambient els seus nous ordinadors portàtils amb anuncis de televisió i revistes, a més d'indicar aquests fets al seu lloc web."," [???] también ha comenzado a anunciar lo ecológicas que son sus nuevas computadoras portátiles con anuncios de televisión y anuncios en revistas, además de declarar estos hechos en su sitio web.", [???] web sitesinde bu gerçekleri belirtmenin yanı sıra televizyon reklamları ve dergi reklamlarıyla yeni dizüstü bilgisayarlarının ne kadar çevre dostu olduğunun reklamını yapmaya da başladı.
" [???] has been criticized for using sweatshop labor practices, environmental degradation, and unethical business practices."," [???] подвергается критике за использование потогонной системы труда, ухудшение состояния окружающей среды и неэтичные методы ведения бизнеса."," [???] był krytykowany za stosowanie praktyk pracowniczych, degradację środowiska i nieetyczne praktyki biznesowe."," [???] крытыкавалі за выкарыстанне працоўнай практыкі ў патагонных цэхах, дэградацыю навакольнага асяроддзя і неэтычную дзелавую практыку."," [???] піддавався критиці за використання методів роботи в потогінних цехах, погіршення навколишнього середовища та неетичну бізнес-практику."," [???] е критикуван за използване на трудови практики в цехове за изпотяване, влошаване на околната среда и неетични бизнес практики."," [???] je bil kritiziran zaradi uporabe delovnih praks v delavnicah, degradacije okolja in neetičnih poslovnih praks."," [???] byl kritizován za používání pracovních praktik manufaktury, poškozování životního prostředí a neetických obchodních praktik."," [???] ha estat criticat per l'ús de pràctiques laborals en tallers clandestins, la degradació del medi ambient i les pràctiques comercials poc ètiques."," [???] ha sido criticado por utilizar prácticas laborales de explotación, degradación ambiental y prácticas comerciales poco éticas."," [???], terhane işçiliği uygulamalarını, çevresel bozulmayı ve etik olmayan iş uygulamalarını kullanmakla eleştirildi."
" [???] has been cultivating a grass roots audience across the country, which has become a large and loyal underground following."," [???] культивирует массовую аудиторию по всей стране, которая стала большой и лояльной андеграундной аудиторией."," [???] kultywuje oddolną publiczność w całym kraju, która stała się liczną i lojalną rzeszą podziemnych fanów."," [???] культываваў масавую аўдыторыю па ўсёй краіне, якая стала вялікай і адданай андэграўнднай публікай."," [???] розвиває широку аудиторію по всій країні, яка стала великою та лояльною підпільною аудиторією."," [???] култивира обикновена публика в цялата страна, която се превърна в голямо и лоялно ъндърграунд последователи."," [???] vzgaja množično občinstvo po vsej državi, ki je postalo veliko in zvesto podtalno privrženstvo."," [???] si po celé zemi pěstuje obecnou obec, která se stala velkým a loajálním undergroundovým následovníkem."," [???] ha estat cultivant un públic de base a tot el país, que s'ha convertit en un gran i lleial seguidors clandestins."," [???] ha estado cultivando una audiencia de base en todo el país, que se ha convertido en un público clandestino grande y leal."," [???], ülke genelinde büyük ve sadık bir yeraltı takipçisi haline gelen tabandan bir izleyici kitlesi geliştiriyor."
 The [???] focuses on training through hands-on experience with established artists., [???] фокусируется на обучении посредством практического опыта с известными артистами., [???] koncentruje się na szkoleniu poprzez praktyczne doświadczenie z uznanymi artystami., [???] факусуюць на навучанні праз практычны досвед працы з вядомымі мастакамі., [???] зосереджується на навчанні через практичний досвід роботи зі відомими художниками., [???] се фокусира върху обучение чрез практически опит с утвърдени артисти., [???] se osredotoča na usposabljanje skozi praktične izkušnje z uveljavljenimi umetniki., [???] se zaměřuje na školení prostřednictvím praktických zkušeností se zavedenými umělci., El [???] se centra en la formació mitjançant l'experiència pràctica amb artistes consolidats., El [???] se centra en la formación a través de la experiencia práctica con artistas establecidos.," [???], yerleşik sanatçılarla uygulamalı deneyim yoluyla eğitime odaklanır."
" In addition to all this, the [???] continue to make frequent appearances on each other 's solo albums.", Вдобавок ко всему этому [???] продолжают часто появляться на сольных альбомах друг друга., Poza tym [???] nadal często pojawiają się na swoich solowych albumach., У дадатак да ўсяго гэтага [???] працягваюць часта з'яўляцца на сольных альбомах адзін аднаго.," На додаток до всього цього, [???] продовжують часто з'являтися в сольних альбомах один одного."," В допълнение към всичко това, [???] продължават да се появяват често в солови албуми на другия.", Poleg vsega tega se [???] še naprej pogosto pojavljata na solo albumih drug drugega., Kromě toho všeho se [???] nadále často objevují na svých sólových albech.," A més de tot això, els [???] continuen fent aparicions freqüents als àlbums en solitari dels altres."," Además de todo esto, los [???] continúan haciendo apariciones frecuentes en los álbumes en solitario de cada uno."," Tüm bunlara ek olarak, [???] birbirlerinin solo albümlerinde sık sık yer almaya devam ediyor."
