be,bg,ca,cs,en,es,pl,ru,sl,tr,uk
Клімат [???] і паўднёва-ўсходняя частка - гэта акіянічны клімат сярэдніх шырот у паўднёвых частках і субарктычны акіянічны клімат у паўночных частках.,Климатът [???] и югоизточната част са океански климат на средна ширина в южните части и субарктически океански климат в северните части.,El clima [???] i el panhandle sud-est és un clima oceànic de latitud mitjana a les seccions del sud i un clima oceànic subàrtic a les parts del nord.,Klima [???] a jihovýchodní pás je oceánské klima střední šířky v jižních částech a subarktické oceánské klima v severních částech.,The climate [???] and the southeast panhandle is a mid-latitude oceanic climate in the southern sections and a subarctic oceanic climate in the northern parts.,El clima [???] y el sureste es un clima oceánico de latitud media en las secciones del sur y un clima oceánico subártico en las partes del norte.,Klimat [???] i południowo-zachodnia część to klimat oceaniczny na średnich szerokościach geograficznych w częściach południowych i subarktyczny klimat oceaniczny w częściach północnych.,Климат [???] и юго-восточный попрошайничество - океанический климат средних широт в южных частях и субарктический океанический климат в северных частях.,Podnebje [???] in jugovzhodni del je oceansko podnebje na srednji zemljepisni širini v južnih delih in subarktično oceansko podnebje v severnih delih.,"İklim [???] ve güneydoğu panhandle, güney kesimlerde orta enlem okyanus iklimi ve kuzey kesimlerde yarı arktik okyanus iklimidir.",Клімат [???] і південно-східна частина — це океанічний клімат середніх широт у південних частинах і субарктичний океанічний клімат у північних частинах.
"Гэта таксама адзіны рэгіён [???], у якім сярэдняя дзённая тэмпература вышэй за нуль у зімовыя месяцы.","Това е и единственият регион [???], в който средната дневна температура е над нулата през зимните месеци.",Aquesta és també l'única regió [???] en què la temperatura mitjana diürna és superior a la congelació durant els mesos d'hivern.,"Toto je také jediný region [???], ve kterém je průměrná denní vysoká teplota v zimních měsících nad bodem mrazu.",This is also the only region [???] in which the average daytime high temperature is above freezing during the winter months.,Esta es también la única región [???] en la que la temperatura alta promedio durante el día está por encima del punto de congelación durante los meses de invierno.,"Jest to również jedyny region [???], w którym średnia temperatura w ciągu dnia jest powyżej zera w miesiącach zimowych.","Это также единственный регион [???], в котором средняя дневная высокая температура в зимние месяцы выше нуля.","To je tudi edina regija [???], kjer je povprečna najvišja dnevna temperatura v zimskih mesecih nad lediščem.",Bu aynı zamanda kış aylarında ortalama gündüz yüksek sıcaklığının donma noktasının üzerinde olduğu tek bölgedir [???].,"Це також єдиний регіон [???], в якому середня денна температура вище нуля протягом зимових місяців."
"Акрамя таго, у басейнах бітумінознага, суббітумінознага і бурага вугалю знойдзены значныя радовішчы вугалю.","Освен това се откриват значителни находища на въглища [???] в битуминозни, суббитуминозни и лигнитни въглищни басейни.","A més, es troben dipòsits importants de carbó a les conques de carbó bituminós, subbituminós i lignit de [???].","Kromě toho se značná ložiska uhlí nacházejí v živičných, podbituminózních a hnědouhelných pánvích.","Additionally, substantial coal deposits are found [???]'s bituminous, sub-bituminous, and lignite coal basins.","Además, se encuentran importantes depósitos de carbón en las cuencas de carbón bituminoso, subbituminoso y de lignito de [???].","Ponadto znaczne złoża węgla znajdują się w zagłębiach węgla kamiennego, subbitumicznego i brunatnego [???].","Кроме того, в битуминозных, полубитуминозных и буроугольных бассейнах [???] обнаружены значительные залежи угля.","Poleg tega so znatna nahajališča premoga [???] v bazenih bituminoznega, subbitumenskega in lignita.","Ek olarak, [???]'nın bitümlü, alt bitümlü ve linyit kömür havzalarında önemli kömür yatakları bulunur.","Крім того, значні родовища кам'яного вугілля знайдені [???] в бітумінозних, суббітумінозних і буровугільних басейнах."
"Кошт тавараў [???] даўно вышэй, чым у сумежных 48 штатах.","Цената на стоките [???] отдавна е по-висока, отколкото в съседните 48 щата.",El cost dels béns [???] ha estat durant molt de temps més alt que als 48 estats contigus.,Náklady na zboží [???] jsou dlouhodobě vyšší než v sousedních 48 státech.,The cost of goods [???] has long been higher than in the contiguous 48 states.,El costo de los bienes [???] ha sido durante mucho tiempo más alto que en los 48 estados contiguos.,Koszt towarów [???] od dawna jest wyższy niż w sąsiednich 48 stanach.,"Стоимость товаров [???] уже давно выше, чем в соседних 48 штатах.",Stroški blaga [???] so že dolgo višji kot v sosednjih 48 državah.,"Malların maliyeti [???], bitişik 48 eyalettekinden uzun süredir daha yüksek.","Вартість товарів [???] вже давно вища, ніж у сусідніх 48 штатах."
З-за паўночнага клімату і крутога рэльефу земляробства адносна мала [???].,Поради северния климат и стръмния терен се среща сравнително малко земеделие [???].,"A causa del clima del nord i del terreny escarpat, es produeix relativament poca agricultura [???].",Vzhledem k severnímu klimatu a strmému terénu se poměrně málo hospodaří [???].,"Due to the northern climate and steep terrain, relatively little farming occurs [???].","Debido al clima del norte y al terreno escarpado, se practica relativamente poca agricultura [???].",Ze względu na północny klimat i strome ukształtowanie terenu uprawia się stosunkowo mało [???].,Из-за северного климата и крутой местности земледелия относительно мало [???].,Zaradi severnega podnebja in strmega terena se poljedelstva relativno malo [???].,Kuzey iklimi ve sarp arazi nedeniyle nispeten az tarım yapılmaktadır [???].,"Через північний клімат і крутий рельєф, сільське господарство ведеться відносно мало [???]."
"Большасць ежы [???] транспартуецца ў штат ""звонку"", і кошт дастаўкі робіць ежу ў гарадах адносна дарагой.","Повечето храни [???] се транспортират в щата от „вън“, а транспортните разходи правят храната в градовете относително скъпа.","La majoria dels aliments [???] es transporten a l'estat des de ""fora"", i els costos d'enviament fan que els aliments a les ciutats siguin relativament cars.",Většina potravin [???] se do státu dopravuje „zvenčí“ a náklady na dopravu jídlo ve městech poměrně prodražují.,"Most food [???] is transported into the state from"" outside"", and shipping costs make food in the cities relatively expensive.","La mayoría de los alimentos [???] se transportan al estado desde ""fuera"", y los costos de envío hacen que los alimentos en las ciudades sean relativamente caros.","Większość żywności [???] jest transportowana do stanu „z zewnątrz”, a koszty transportu sprawiają, że żywność w miastach jest stosunkowo droga.","Большая часть еды [???] доставляется в штат «извне», и стоимость доставки делает еду в городах относительно дорогой.","Večina hrane [???] se v zvezno državo prevaža ""od zunaj"", zaradi stroškov pošiljanja pa je hrana v mestih razmeroma draga.","Yiyeceklerin çoğu [???] eyalete ""dışarıdan"" taşınır ve nakliye masrafları şehirlerdeki yiyecekleri nispeten pahalı hale getirir.","Більшість їжі [???] транспортується до штату «зовні», а витрати на доставку роблять їжу в містах відносно дорогою."
"У апошнія гады сістэма дарог з цвёрдым пакрыццём, якая пастаянна паляпшаецца, пачала зацямняць важнасць чыгункі [???] у эканоміцы.",През последните години непрекъснато подобряващата се павирана магистрална система започна да засенчва значението на железопътната [???] икономика.,"En els darrers anys, el sistema d'autopistes pavimentades en constant millora va començar a eclipsar la importància del ferrocarril [???] en l'economia.",V posledních letech stále se zlepšující systém dlážděných dálnic začal zatemňovat význam železniční [???] ekonomiky.,"In recent years, the ever-improving paved highway system began to eclipse the railroad's importance [???]'s economy.","En los últimos años, el sistema de carreteras pavimentadas en constante mejora comenzó a eclipsar la importancia del ferrocarril [???] en la economía.",W ostatnich latach stale ulepszany system utwardzonych autostrad zaczął przyćmiewać znaczenie kolei [???] w gospodarce.,В последние годы постоянно совершенствующаяся система автомагистралей с твердым покрытием начала затмевать важность железных дорог [???] в экономике.,V zadnjih letih je vse boljši sistem asfaltiranih avtocest začel zasenčiti pomen železnice [???] v gospodarstvu.,"Son yıllarda, sürekli gelişen asfalt karayolu sistemi, demiryolunun [???] ekonomisindeki önemini gölgede bırakmaya başladı.","Останніми роками система асфальтованих доріг, що постійно вдосконалювалася, почала затьмарювати важливість залізниці [???] в економіці."
"У раёнах, якія не абслугоўваюцца аўтамабільным або чыгуначным транспартам, асноўным транспартам летам з'яўляюцца ўсюдыходы, а зімой - снегаходы або «снегоходы», як іх звычайна называюць [???].","В райони, които не се обслужват от автомобилен или железопътен транспорт, основният транспорт през лятото е с превозно средство за всички терени, а през зимата с моторна шейна или „машина за сняг“, както обикновено се нарича [???].","A les zones no servides per carretera o ferrocarril, el transport principal a l'estiu és amb vehicles tot terreny i a l'hivern amb motos de neu o ""màquina de neu"", com s'anomena habitualment [???].","V oblastech, které nejsou obsluhovány silnicí nebo železnicí, je primární doprava v létě terénním vozidlem a v zimě sněžným skútrem nebo „sněžným strojem“, jak se běžně označuje [???].","In areas not served by road or rail, primary transportation in summer is by all-terrain vehicle and in winter by snowmobile or"" snow machine,"" as it is commonly referred to [???].","En áreas que no cuentan con carretera o ferrocarril, el transporte principal en verano es en vehículos todo terreno y en invierno en motos de nieve o ""máquinas de nieve"", como se las conoce comúnmente [???].","Na obszarach nieobsługiwanych przez drogi ani koleje, podstawowym transportem latem jest pojazd terenowy, a zimą skuter śnieżny lub „maszyna śnieżna”, jak to się powszechnie określa [???].","В районах, не обслуживаемых автомобильным или железнодорожным транспортом, основной транспорт летом осуществляется на вездеходах, а зимой на снегоходах или «снегоходах», как их обычно называют [???].","Na območjih, ki jih ne povezuje cesta ali železnica, je primarni prevoz poleti terensko vozilo, pozimi pa motorne sani ali ""snežni stroj"", kot se običajno imenuje [???].","Karayolu veya demiryolu ile hizmet verilmeyen alanlarda, yazın birincil ulaşım arazi aracıyla ve kışın kar arabası veya yaygın olarak [???] olarak anıldığı şekliyle ""kar makinesi"" ile yapılır.","У районах, які не обслуговуються автомобільним або залізничним транспортом, основним транспортом влітку є всюдихід, а взимку — снігохід або «снігохід», як його зазвичай називають [???]."
"Частка даходаў, сабраных з некаторых дзяржаўных падаткаў і ліцэнзійных збораў (такіх як нафта, авіяцыйнае маторнае паліва, тэлефонныя кааператывы), дзеліцца з муніцыпалітэтамі [???].","Част от приходите, събрани от определени държавни данъци и лицензионни такси (като петрол, авиационно моторно гориво, телефонна кооперация) се споделят с общините [???].","Una part dels ingressos recaptats de determinats impostos estatals i taxes de llicència (com ara el petroli, el combustible d'aviació, les cooperatives telefòniques) es comparteixen amb els municipis [???].","Část příjmů vybraných z některých státních daní a licenčních poplatků (např. nafta, letecké pohonné hmoty, telefonní družstvo) je sdílena s obcemi [???].","A part of the revenue collected from certain state taxes and license fees( such as petroleum, aviation motor fuel, telephone cooperative) is shared with municipalities [???].","Una parte de los ingresos recaudados de ciertos impuestos estatales y derechos de licencia (como petróleo, combustible para motores de aviación, cooperativa telefónica) se comparte con los municipios [???].","Część dochodów uzyskanych z niektórych podatków państwowych i opłat licencyjnych (takich jak ropa naftowa, paliwo lotnicze, spółdzielnia telefoniczna) jest dzielona z gminami [???].","Часть доходов, получаемых от некоторых государственных налогов и лицензионных сборов (таких как нефть, авиационное топливо, телефонный кооператив), распределяется между муниципалитетами [???].","Del prihodkov, zbranih od nekaterih državnih davkov in licenčnin (kot so nafta, letalsko motorno gorivo, telefonske zadruge), se deli z občinami [???].","Belirli devlet vergileri ve lisans ücretlerinden (petrol, havacılık motor yakıtı, telefon kooperatifi gibi) toplanan gelirlerin bir kısmı belediyelere [???] paylaşılır.","Частина доходів, отриманих від деяких державних податків і ліцензійних зборів (таких як нафта, авіаційне моторне паливо, телефонний кооператив), ділиться з муніципалітетами [???]."
Акруга запісу - гэта механізм адміністравання грамадскага запісу [???].,Районът за запис е механизъм за администриране на публичния регистър [???].,Un districte d'enregistrament és un mecanisme per a l'administració del registre públic [???].,Záznamový obvod je mechanismus pro správu veřejné evidence [???].,A recording district is a mechanism for administration of the public record [???].,Un distrito de registro es un mecanismo para la administración del registro público [???].,Obwód ewidencyjny jest mechanizmem administrowania rejestrem publicznym [???].,Записывающий округ — это механизм управления публичными записями [???].,Snemalno okrožje je mehanizem za upravljanje javne evidence [???].,"Bir kayıt bölgesi, kamu kayıtlarının [???] idaresi için bir mekanizmadır.",Район запису — це механізм адміністрування публічного запису [???].
"Гэта адна з найбуйнейшых крыніц парніковых газаў, на якую прыпадае 18% сусветных выкідаў парніковых газаў [???] 2 эквіваленты.","Това е един от най-големите източници на парникови газове, отговорен за 18% от световните емисии на парникови газове, измерени [???] 2 еквивалента.","És una de les fonts més grans de gasos d'efecte hivernacle, responsable del 18% de les emissions mundials de gasos d'efecte hivernacle mesurades [???] 2 equivalents.","Je to jeden z největších zdrojů skleníkových plynů, který je zodpovědný za 18 % světových emisí skleníkových plynů měřeno [???] 2 ekvivalenty.","It is one of the largest sources of greenhouse gases, responsible for 18% of the world's greenhouse gas emissions as measured [???] 2 equivalents.","Es una de las mayores fuentes de gases de efecto invernadero, responsable del 18 % de las emisiones de gases de efecto invernadero del mundo medidas [???] 2 equivalentes.","Jest to jedno z największych źródeł gazów cieplarnianych, odpowiedzialne za 18% światowej emisji gazów cieplarnianych mierzonej [???] 2 równoważniki.","Это один из крупнейших источников парниковых газов, ответственный за 18% мировых выбросов парниковых газов, измеренных [???] 2 эквивалента.","Je eden največjih virov toplogrednih plinov, odgovoren za 18 % svetovnih emisij toplogrednih plinov, merjeno [???] 2 ekvivalenta.",Ölçülen [???] 2 eşdeğeri olarak dünyadaki sera gazı emisyonlarının %18'inden sorumlu olan en büyük sera gazı kaynaklarından biridir.,"Це одне з найбільших джерел парникових газів, що відповідає за 18% світових викидів парникових газів за вимірюванням [???] 2 екв."
Пікарэскавы раман узнік [???] у сярэдзіне ХV ст.,Пикаресковият роман възниква [???] в средата на петнадесети век.,La novel·la picaresca es va originar [???] a mitjans del segle XV.,Pikareskní román vznikl [???] v polovině patnáctého století.,The picaresque novel originated [???] in the middle of the fifteenth century.,La novela picaresca se originó [???] a mediados del siglo XV.,Powieść łotrzykowska powstała [???] w połowie XV wieku.,Пикарескный роман возник [???] в середине пятнадцатого века.,Picareskni roman je nastal [???] sredi petnajstega stoletja.,Pikaresk roman [???] on beşinci yüzyılın ortalarında ortaya çıktı.,Пікаресковий роман виник [???] у середині ХV ст.
"Ён пісаў пра востраў, дзе большасць дрэў зроблена з бразільскага дрэва, і з гэтага вострава ён адправіўся на востраў у дзесяці лье, дзе былі пабудаваны дамы [???].","Той пише за остров, където повечето дървета са от бразилско дърво и от този остров той отиде на един от десет левги, където имаха къщи, построени като [???].","Va escriure sobre una illa on la majoria d'arbres són de fusta de Brasil i, des d'aquesta illa, va anar a una deu llegües de distància, on van fer construir cases com [???].","Psal o ostrově, kde je většina stromů z brazilského dřeva, az tohoto ostrova se vydal na deset mil daleko, kde měli domy postavené jako [???].","He wrote about an island where most trees are of brazil wood and, from this island, he went to one ten leagues away, where they had houses built as [???].","Escribió sobre una isla donde la mayoría de los árboles son de palo brasil y de esta isla se fue a una que estaba a diez leguas, donde tenían casas construidas como [???].","Napisał o wyspie, na której większość drzew jest z drewna brazylijskiego iz tej wyspy udał się na oddaloną o dziesięć mil, gdzie mieli domy zbudowane jako [???].","Он написал об острове, где большинство деревьев из бразильского дерева, и с этого острова он отправился на один в десяти лье, где были построены дома как [???].","Pisal je o otoku, kjer je večina dreves iz brazilskega lesa in s tega otoka je odšel na enega deset lig stran, kjer so imeli hiše zgrajene kot [???].",Ağaçların çoğunun brezilya ağacından olduğu bir ada hakkında yazdı ve bu adadan on fersah ötedeki birine gitti ve orada [???] olarak ev yaptırdılar.,"Він писав про острів, де більшість дерев складається з бразильського дерева, і з цього острова він відправився на один із десяти льє, де були побудовані будинки [???]."
"Дэфіцыт выдаткаў быў адным з асноўных прадуктаў [???] у гісторыі, і сціпла высокая інфляцыя таксама прысутнічала.","Разходите с дефицит са основен елемент в историята на [???], а умерено високата инфлация също присъства.","La despesa amb dèficit ha estat un element bàsic [???] de la història, i també hi ha estat present una inflació modestament alta.",Deficitní výdaje byly základní [???] historie a byla přítomna i mírně vysoká inflace.,"Deficit spending has been a staple [???]'s history, and modestly high inflation has been present as well.","El gasto deficitario ha sido un elemento básico en la historia de [???], y también ha habido una inflación moderadamente alta.","Wydatki deficytowe były podstawą historii [???], występowała również umiarkowanie wysoka inflacja.","Дефицитные расходы были одним из основных продуктов в истории [???], и умеренно высокая инфляция также присутствовала.","Poraba primanjkljaja je bila stalnica [???] v zgodovini, prisotna je bila tudi zmerno visoka inflacija.","Açık harcama, [???] tarihinin temel unsurlarından biri olmuştur ve mütevazı derecede yüksek enflasyon da mevcuttur.","Дефіцитні витрати були основним продуктом [???] в історії, і помірно висока інфляція також була присутня."
Мова можа разглядацца як важная частка астраўной культуры [???].,Езикът може да се разглежда като важна част от островната култура [???].,La llengua es pot veure com una part important de la cultura de l'illa [???].,Jazyk lze považovat za důležitou součást ostrovní kultury [???].,Language can be seen as an important part of island culture [???].,El idioma puede verse como una parte importante de la cultura isleña [???].,Język można postrzegać jako ważną część kultury wyspiarskiej [???].,Язык можно рассматривать как важную часть островной культуры [???].,Na jezik lahko gledamo kot na pomemben del otoške kulture [???].,"Dil, ada kültürünün önemli bir parçası olarak görülebilir [???].",Мову можна розглядати як важливу частину острівної культури [???].
