en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
"[ citation needed ] [???] is the only state that levies income tax on a family of four with income as low as$ 4,600, which is barely one-quarter of the federal poverty line.","[Править] [???] является единственным штатом, который взимает подоходный налог с семьи из четырех человек с доходом всего 4600 долларов, что составляет едва ли четверть федеральной черты бедности.","[potrzebne źródło] [???] jest jedynym stanem, który nakłada podatek dochodowy na czteroosobową rodzinę z dochodem tak niskim jak 4600 $, co stanowi zaledwie jedną czwartą federalnej granicy ubóstwa.","[патрэбная цытата] [???] з'яўляецца адзіным штатам, які спаганяе падаходны падатак з сям'і з чатырох чалавек з прыбыткам усяго 4600 долараў, што складае ледзь чвэрць федэральнай рысы беднасці.","[ потрібне цитування ] [???] є єдиним штатом, який стягує прибутковий податок із сім’ї з чотирьох осіб із доходом лише 4600 доларів США, що становить ледве чверть федеральної межі бідності.","[необходим цитат] [???] е единственият щат, който налага данък върху доходите на четиричленно семейство с доход от едва 4600$, което е едва една четвърт от федералната линия на бедност.","[potreben citat] [???] je edina država, ki zaračunava dohodnino štiričlanski družini z dohodkom le 4600 $, kar je komaj ena četrtina zvezne meje revščine.","[pochvalná zmínka potřebovaný] [???] je jediný stát, který vybírá daň z příjmu na čtyřčlennou rodinu s příjmem jen 4 600 $, což je sotva jedna čtvrtina federální hranice chudoby.","[citació necessària] [???] és l'únic estat que grava l'impost sobre la renda a una família de quatre persones amb ingressos tan baixos com $ 4.600, que és amb prou feines una quarta part del llindar de pobresa federal.","[ citación necesitada ] [???] es el único estado que impone impuestos sobre la renta a una familia de cuatro con ingresos tan bajos como $ 4,600, que es apenas una cuarta parte de la línea de pobreza federal.","[kaynak belirtilmeli] [???], federal yoksulluk sınırının ancak dörtte biri olan 4.600 $ gibi düşük bir gelire sahip dört kişilik bir aileden gelir vergisi alan tek eyalettir."
[???] has 67 counties.,[???] имеет 67 округов.,[???] ma 67 powiatów.,[???] мае 67 акругаў.,[???] має 67 округів.,[???] има 67 окръга.,[???] ima 67 okrajev.,[???] má 67 okresů.,[???] té 67 comtats.,[???] tiene 67 condados.,[???] 67 ilçeye sahiptir.
[???] is an alcoholic beverage control state; the government holds a monopoly on the sale of alcohol.,[???] — состояние контроля употребления алкогольных напитков; правительство имеет монополию на продажу алкоголя.,[???] to stan kontroli napoju alkoholowego; rząd ma monopol na sprzedaż alkoholu.,[???] — дзяржава кантролю над алкагольнымі напоямі; урад трымае манаполію на продаж алкаголю.,[???] — стан контролю над алкогольними напоями; держава тримає монополію на продаж алкоголю.,[???] е състояние на контрол върху алкохолните напитки; правителството държи монопол върху продажбата на алкохол.,[???] je stanje nadzora nad alkoholnimi pijačami; vlada ima monopol nad prodajo alkohola.,[???] je stav kontroly alkoholických nápojů; vláda má monopol na prodej alkoholu.,[???] és un estat de control de begudes alcohòliques; el govern té el monopoli de la venda d'alcohol.,[???] es un estado de control de bebidas alcohólicas; el gobierno tiene el monopolio de la venta de alcohol.,[???] alkollü içecek kontrol durumudur; Hükümet alkol satışında tekel sahibidir.
[???] has universal suffrage at 18 years of age.,[???] имеет всеобщее избирательное право в 18 лет.,[???] ma powszechne prawo wyborcze w wieku 18 lat.,[???] мае ўсеагульнае выбарчае права ў 18 гадоў.,[???] має загальне виборче право у 18 років.,[???] има всеобщо избирателно право на 18 години.,[???] ima splošno volilno pravico pri 18 letih.,[???] má všeobecné volební právo ve věku 18 let.,[???] té sufragi universal als 18 anys.,[???] tiene sufragio universal a los 18 años de edad.,[???] 18 yaşında genel oy hakkına sahiptir.
"Under the 1976 constitution( as modified 1979, and amended in 1988, 1989, and 1996) [???] is a multi-party state.","Согласно конституции 1976 г. (с изменениями 1979 г. и поправками 1988, 1989 и 1996 гг.) [???] является многопартийным государством.","Zgodnie z konstytucją z 1976 r. (zmodyfikowaną w 1979 r. i poprawioną w 1988, 1989 i 1996 r.) [???] jest państwem wielopartyjnym.","Паводле канстытуцыі 1976 г. (са зменамі 1979 г. і папраўкамі 1988, 1989 і 1996 гг.) [???] з'яўляецца шматпартыйнай дзяржавай.","Відповідно до конституції 1976 року (зі змінами 1979 року та поправками 1988, 1989 та 1996 років) [???] є багатопартійною державою.","Съгласно конституцията от 1976 г. (променена през 1979 г. и изменена през 1988, 1989 и 1996 г.) [???] е многопартийна държава.","Po ustavi iz leta 1976 (kakor je bila spremenjena leta 1979 in dopolnjena leta 1988, 1989 in 1996) je [???] večstrankarska država.","Podle ústavy z roku 1976 (ve znění upraveném v roce 1979 a doplněné v letech 1988, 1989 a 1996) [???] je státem s více stranami.","Segons la constitució de 1976 (modificada el 1979 i esmenada el 1988, 1989 i 1996) [???] és un estat multipartidista.","Según la constitución de 1976 (modificada en 1979 y enmendada en 1988, 1989 y 1996) [???] es un estado multipartidista.","1976 anayasasına göre (1979'da değiştirilen ve 1988, 1989 ve 1996'da değiştirilen şekliyle) [???] çok partili bir devlettir."
"To date, [???] has had more than 40 legal political parties.",На сегодняшний день [???] насчитывает более 40 легальных политических партий.,Do tej pory [???] miał ponad 40 legalnych partii politycznych.,На сённяшні дзень у [???] дзейнічае больш за 40 легальных палітычных партый.,На сьогодні [???] має понад 40 легальних політичних партій.,Към днешна дата [???] има повече от 40 легални политически партии.,[???] je imela do danes več kot 40 legalnih političnih strank.,K dnešnímu dni má [???] více než 40 legálních politických stran.,"Fins ara, [???] ha tingut més de 40 partits polítics legals.","Hasta la fecha, [???] ha tenido más de 40 partidos políticos legales.",[???] bugüne kadar 40'tan fazla yasal siyasi partiye sahipti.
"[???] has attempted, in recent years, to diversify its sources of military material.",[???] в последние годы пытался диверсифицировать свои источники военных материалов.,[???] w ostatnich latach próbował zdywersyfikować swoje źródła materiałów wojskowych.,[???] у апошнія гады паспрабаваў дыверсіфікаваць свае крыніцы ваеннага матэрыялу.,Останніми роками [???] намагався диверсифікувати свої джерела військового матеріалу.,[???] се опита през последните години да разнообрази своите източници на военни материали.,[???] je v zadnjih letih poskušal diverzificirati svoje vire vojaškega materiala.,[???] se v posledních letech pokouší diverzifikovat své zdroje vojenského materiálu.,"[???] ha intentat, en els últims anys, diversificar les seves fonts de material militar.","[???] ha intentado, en los últimos años, diversificar sus fuentes de material militar.",[???] son ​​yıllarda askeri malzeme kaynaklarını çeşitlendirmeye çalıştı.
"[???] is divided into 48 provinces( wilayas), 553 districts( daïras) and 1,541 municipalities( baladiyahs).","[???] разделен на 48 провинций (вилая), 553 округа (дайры) и 1541 муниципалитет (баладия).","[???] dzieli się na 48 prowincji (wilayas), 553 dystrykty (daïras) i 1541 gmin (baladiyahs).","[???] падзелены на 48 правінцый (вілаяў), 553 раёны (даіры) і 1541 муніцыпалітэт (баладыі).","[???] поділяється на 48 провінцій (вілаїв), 553 округи (дайри) і 1541 муніципалітет (баладії).","[???] е разделен на 48 провинции (wilayas), 553 области (daïras) и 1541 общини (baladiyahs).","[???] je razdeljen na 48 provinc (wilayas), 553 okrožij (daïras) in 1.541 občin (baladiyah).","[???] se dělí na 48 provincií (wilayas), 553 okresů (daïras) a 1541 obcí (baladiyahs).","[???] es divideix en 48 províncies ( wilayas ), 553 districtes ( daïras ) i 1.541 municipis ( baladiyahs ).","[???] se divide en 48 provincias (wilayas), 553 distritos (daïras) y 1.541 municipios (baladiyahs).","[???] 48 il (vilayet), 553 ilçe (daïra) ve 1.541 belediyeye (baladiye) bölünmüştür."
[???] has always been noted for the fertility of its soil.,[???] всегда славился плодородием почвы.,[???] zawsze słynęła z żyzności gleby.,[???] заўсёды вызначаўся ўрадлівасцю глебы.,[???] завжди відзначався родючістю своїх ґрунтів.,[???] винаги е бил известен с плодородието на своята почва.,[???] že od nekdaj slovi po rodovitnosti prsti.,[???] byl vždy známý úrodností své půdy.,[???] sempre s'ha destacat per la fertilitat del seu sòl.,[???] siempre se ha destacado por la fertilidad de su suelo.,[???] her zaman toprağının verimliliği ile dikkat çekmiştir.
"Given [???]'s young population, policy favors preventive health care and clinics over hospitals.","Учитывая молодое население [???] населения, политика отдает предпочтение профилактической медицинской помощи и клиникам, а не больницам.","Biorąc pod uwagę młodą populację [???], polityka faworyzuje profilaktyczną opiekę zdrowotną i kliniki nad szpitalami.","Улічваючы маладое насельніцтва [???], палітыка аддае перавагу прафілактычнай медыцынскай дапамозе і клінікам, а не бальніцам.","Враховуючи молоде населення [???], політика надає перевагу профілактиці та клінікам, а не лікарням.","Като се има предвид младото население на [???], политиката предпочита превантивните здравни грижи и клиниките пред болниците.",Glede na mlado populacijo [???] politika daje prednost preventivnemu zdravstvenemu varstvu in klinikam pred bolnišnicami.,Vzhledem k mladé populaci [???] politika upřednostňuje preventivní zdravotní péči a kliniky před nemocnicemi.,"Donada la població jove de [???], la política afavoreix l'atenció mèdica preventiva i les clíniques per sobre dels hospitals.","Dada la población joven de [???], la política favorece la atención médica preventiva y las clínicas sobre los hospitales.","[???]'nın genç nüfusu göz önüne alındığında, politika koruyucu sağlık hizmetlerini ve klinikleri hastanelere tercih ediyor."
"[???] is a prosperous country mainly because of its tourism industry, which services an estimated 10.2 million visitors annually, and also because of its status as a tax haven.","[???] является процветающей страной в основном благодаря своей индустрии туризма, которая ежегодно обслуживает около 10,2 миллиона посетителей, а также благодаря своему статусу налогового убежища.","[???] jest zamożnym krajem głównie ze względu na branżę turystyczną, która obsługuje rocznie około 10,2 miliona turystów, a także ze względu na status raju podatkowego.","[???] з'яўляецца квітнеючай краінай у асноўным дзякуючы сваёй індустрыі турызму, якая абслугоўвае каля 10,2 мільёна наведвальнікаў штогод, а таксама дзякуючы статусу падатковай гавані.","[???] є процвітаючою країною в основному завдяки своїй індустрії туризму, яка щорічно обслуговує приблизно 10,2 мільйона відвідувачів, а також через її статус податкової гавані.","[???] е просперираща страна главно поради своята туристическа индустрия, която обслужва около 10,2 милиона посетители годишно, а също и поради статута си на данъчен рай.","[???] je uspešna država predvsem zaradi svoje turistične industrije, ki letno obišče približno 10,2 milijona obiskovalcev, in tudi zaradi statusa davčne oaze.","[???] je prosperující zemí především díky svému turistickému ruchu, který ročně obsluhuje odhadem 10,2 milionů návštěvníků, a také díky svému statusu daňového ráje.","[???] és un país pròsper principalment per la seva indústria turística, que dóna servei a uns 10,2 milions de visitants anuals, i també per la seva condició de paradís fiscal.","[???] es un país próspero principalmente por su industria turística, que atiende a unos 10,2 millones de visitantes al año, y también por su condición de paraíso fiscal.","[???], yılda tahmini 10,2 milyon ziyaretçiye hizmet veren turizm endüstrisi ve ayrıca bir vergi cenneti statüsü nedeniyle müreffeh bir ülkedir."
[???] consists of seven parishes:,[???] состоит из семи приходов:,[???] składa się z siedmiu parafii:,[???] складаецца з сямі парафій:,[???] складається з семи парафій:,[???] се състои от седем енории:,[???] sestavlja sedem župnij:,[???] se skládá ze sedmi farností:,[???] consta de set parròquies:,[???] consta de siete parroquias:,[???] yedi mahalleden oluşur:
"[???] has a temperate climate similar to that of its neighbours, but its higher elevation means there is, on average, more snow in winter, lower humidity, and it is slightly cooler in summer.","[???] имеет умеренный климат, похожий на климат его соседей, но из-за большей высоты зимой в среднем больше снега, ниже влажность, а летом немного прохладнее.","[???] ma klimat umiarkowany podobny do sąsiadów, ale wyższe położenie oznacza, że ​​zimą jest średnio więcej śniegu, niższa wilgotność, a latem jest nieco chłodniej.","[???] мае ўмераны клімат, падобны на клімат яго суседзяў, але больш высокая вышыня азначае, што зімой у сярэднім больш снегу, вільготнасць ніжэй, а летам крыху халадней.","[???] має помірний клімат, подібний до клімату його сусідів, але його більша висота означає, що в середньому більше снігу взимку, нижча вологість і трохи прохолодніше влітку.","[???] има умерен климат, подобен на този на своите съседи, но по-високата му надморска височина означава, че има средно повече сняг през зимата, по-ниска влажност и е малко по-хладно през лятото.","[???] ima zmerno podnebje, podobno tistemu pri sosedih, vendar njegova višja nadmorska višina pomeni, da je pozimi v povprečju več snega, nižja vlažnost, poleti pa je nekoliko hladneje.","[???] má mírné klima podobné tomu u jeho sousedů, ale jeho vyšší nadmořská výška znamená v průměru více sněhu v zimě, nižší vlhkost a v létě je o něco chladněji.","[???] té un clima temperat semblant al dels seus veïns, però la seva elevació més alta fa que hi hagi, de mitjana, més neu a l'hivern, una humitat més baixa i una mica més fresca a l'estiu.","[???] tiene un clima templado similar al de sus vecinos, pero su mayor elevación significa que, en promedio, hay más nieve en invierno, menos humedad y es un poco más fresco en verano.","[???], komşularınınkine benzer ılıman bir iklime sahiptir, ancak daha yüksek rakımı, ortalama olarak kışın daha fazla kar olduğu, daha düşük nem olduğu ve yazın biraz daha serin olduğu anlamına gelir."
[???] lacks a currency of its own and uses that of its two surrounding nations.,[???] не имеет собственной валюты и использует валюту двух соседних стран.,[???] nie ma własnej waluty i używa waluty dwóch sąsiednich narodów.,[???] не мае ўласнай валюты і выкарыстоўвае валюту дзвюх навакольных краін.,[???] не має власної валюти і використовує валюту двох навколишніх країн.,[???] няма собствена валута и използва тази на двете околни нации.,[???] nima lastne valute in uporablja valuto svojih dveh okoliških držav.,[???] postrádá vlastní měnu a používá měnu svých dvou okolních národů.,[???] no té una moneda pròpia i utilitza la de les seves dues nacions circumdants.,[???] carece de una moneda propia y utiliza la de sus dos naciones vecinas.,[???] kendi para biriminden yoksundur ve çevresindeki iki ülkenin para birimini kullanır.
[???] is negotiating to issue its own euro coins.,[???] ведет переговоры о выпуске собственных монет евро.,[???] negocjuje emisję własnych monet euro.,[???] вядзе перамовы аб выпуску ўласных манет еўра.,[???] веде переговори щодо випуску власних монет євро.,[???] преговаря за издаване на собствени евромонети.,[???] se pogaja o izdaji lastnih eurokovancev.,[???] jedná o vydání vlastních euromincí.,[???] està negociant per emetre les seves pròpies monedes d'euro.,[???] está negociando para emitir sus propias monedas de euro.,[???] kendi euro madeni paralarını çıkarmak için müzakere ediyor.
"[???] has one of the world's lowest unemployment rates, with the statistics on June 2009 showing almost 100% employment within the country.",[???] имеет один из самых низких уровней безработицы в мире: статистика на июнь 2009 г. показывает почти 100% занятость внутри страны.,"[???] ma jedną z najniższych na świecie stóp bezrobocia, a statystyki z czerwca 2009 roku pokazują prawie 100% zatrudnienia w kraju.","[???] мае адзін з самых нізкіх узроўняў беспрацоўя ў свеце, статыстыка на чэрвень 2009 г. паказвае амаль 100% занятасць у краіне.","[???] має один із найнижчих у світі рівнів безробіття, зі статистичними даними на червень 2009 року, що показує майже 100% зайнятість у країні.","[???] има едно от най-ниските нива на безработица в света, като статистиката от юни 2009 г. показва почти 100% заетост в страната.","[???] ima eno najnižjih stopenj brezposelnosti na svetu, saj statistika junija 2009 kaže skoraj 100-odstotno zaposlenost v državi.","[???] má jednu z nejnižších mír nezaměstnanosti na světě, přičemž statistiky z června 2009 ukazují téměř 100% zaměstnanost v zemi.","[???] té una de les taxes d'atur més baixes del món, amb les estadístiques del juny de 2009 que mostren gairebé el 100% d'ocupació al país.","[???] tiene una de las tasas de desempleo más bajas del mundo, con estadísticas de junio de 2009 que muestran casi el 100% de empleo dentro del país.","[???], Haziran 2009'daki istatistiklerin ülke içinde neredeyse %100 istihdam olduğunu göstermesiyle dünyanın en düşük işsizlik oranlarından birine sahip."
"[???] has a road network of 279 km( 173 mi), of which 76 km( 47 mi) is unpaved.","[???] имеет дорожную сеть протяженностью 279 км (173 мили), из которых 76 км (47 миль) грунтовые.","[???] ma sieć dróg o długości 279 km (173 mil), z czego 76 km (47 mil) jest nieutwardzonych.","[???] мае сетку дарог даўжынёй 279 км (173 міль), з якіх 76 км (47 міль) грунтавыя.","[???] має мережу доріг протяжністю 279 км (173 милі), з яких 76 км (47 миль) неасфальтовані.","[???] има пътна мрежа от 279 км (173 мили), от които 76 км (47 мили) са неасфалтирани.","[???] ima cestno omrežje 279 km (173 milj), od tega je 76 km (47 milj) neasfaltiranih.","[???] má silniční síť 279 km ( 173 mi), z toho 76 km ( 47 mi) je nezpevněných.","[???] té una xarxa de carreteres de 279 km (173 milles), dels quals 76 km (47 milles) no estan asfaltades.","[???] cuenta con una red vial de 279 km( 173 mi), de los cuales 76 km( 47 mi) son de terracería.",[???] 279 km'lik (173 mil) bir yol ağına sahiptir ve bunun 76 km'si (47 mil) asfaltsızdır.
[???] is larger than all but 18 sovereign countries.,"[???] больше, чем все, кроме 18 суверенных стран.",[???] jest większy niż wszystkie z wyjątkiem 18 suwerennych krajów.,"[???] больш, чым усе, акрамя 18 суверэнных краін.","[???] більша за всі, крім 18 суверенних країн.","[???] е по-голяма от всички, освен 18 суверенни държави.",[???] je večja od vseh razen 18 suverenih držav.,[???] je větší než všechny kromě 18 suverénních zemí.,[???] és més gran que tots els països sobirans menys 18.,[???] es más grande que todos menos 18 países soberanos.,"[???], 18 egemen ülke dışında hepsinden daha büyük."
"With its myriad islands, [???] has nearly 34000 miles( 54720 km) of tidal shoreline.","С его бесчисленными островами, [???] имеет почти 34000 миль (54720 км) приливной береговой линии.",Z niezliczonymi wyspami [???] ma prawie 34 000 mil (54 720 km) pływowej linii brzegowej.,З мноствам астравоў [???] мае амаль 34000 міль (54720 км) прыліўной берагавой лініі.,З безліччю островів [???] має майже 34000 миль (54720 км) припливної берегової лінії.,Със своите безброй острови [???] има близо 34 000 мили (54 720 км) приливна брегова линия.,[???] ima s svojimi neštetimi otoki skoraj 34000 milj (54720 km) plimske obale.,Se svými nesčetnými ostrovy má [???] téměř 34 000 mil (54 720 km) přílivového pobřeží.,"Amb les seves innumerables illes, [???] té gairebé 54.720 km (34.000 milles) de costa de marea.","Con su miríada de islas, [???] tiene casi 34000 millas (54720 km) de costa de marea.","Sayısız adasıyla [???], yaklaşık 34000 mil (54720 km) gelgit kıyı şeridine sahiptir."
